FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,OBJECTID,Shape_Leng,RiverMile,Distance
0,46,143481,8842260,Tug,40.44396333,-80.01205,2014-08-01 23:08:56.707,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.14,1,0.014501179,1,0.00438179
1,47,143481,8842260,Tug,40.44577833,-80.00295,2014-08-03 02:33:56.857,24,8,"River Salvage Co., Allegheny River Dock, PA",0.47,1,0.014501179,1,0.01361143
2,48,143481,8842260,Tug,40.44446667,-80.02496,2014-08-03 03:02:36.237,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00083199
3,49,143481,8842260,Tug,40.44454333,-80.02651,2014-08-03 03:30:17.550,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00125834
4,50,143481,8842260,Tug,40.44463333,-80.02650667,2014-08-03 04:00:57.090,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00117206
5,51,143481,8842260,Tug,40.44461167,-80.02651,2014-08-03 04:30:57.377,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00119363
6,52,143481,8842260,Tug,40.44463667,-80.02646,2014-08-03 05:01:57.683,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00115387
7,53,143481,8842260,Tug,40.44489667,-80.02613667,2014-08-03 05:37:18.060,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00080363
8,54,143481,8842260,Tug,40.44454167,-80.02342667,2014-08-03 06:00:36.507,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.1,1,0.014501179,1,0.00026743
9,55,143481,8842260,Tug,40.44479833,-80.02584333,2014-08-03 06:50:16.590,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00080232
10,56,143481,8842260,Tug,40.444215,-80.02421167,2014-08-03 07:04:18.073,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00082939
11,100,143481,8842260,Tug,40.43844,-80.01002167,2014-08-05 05:00:17.073,24,8,"Penn Lincoln Pkwy, Monongahela River, PA",0.05,1,0.014501179,1,0.00723876
12,101,143481,8842260,Tug,40.43581667,-80.00274333,2014-08-06 23:30:42.843,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.12,1,0.014501179,1,0.01488251
13,102,143481,8842260,Tug,40.44484,-80.00658833,2014-08-07 15:13:03.467,24,8,NOAA River Gage (PTTP1),0.36,1,0.014501179,1,0.00985407
14,128,143481,8842260,Tug,40.44605167,-80.0021,2014-08-08 23:48:51.617,24,8,"River Salvage Co., Allegheny River Dock, PA",0.43,1,0.014501179,1,0.014503
15,129,143481,8842260,Tug,40.44484167,-80.02284667,2014-08-09 00:00:51.740,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.13,1,0.014501179,1,0.0002033
16,130,143481,8842260,Tug,40.44461167,-80.026495,2014-08-09 00:30:10.740,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00118881
17,131,143481,8842260,Tug,40.44473833,-80.02652,2014-08-09 01:00:11.163,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00107693
18,132,143481,8842260,Tug,40.44463333,-80.02651167,2014-08-09 01:30:51.320,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00117366
19,133,143481,8842260,Tug,40.44461833,-80.02650333,2014-08-09 02:00:11.397,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00118518
20,134,143481,8842260,Tug,40.445555,-80.02648333,2014-08-09 02:30:11.630,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.1,1,0.014501179,1,0.00029193
21,228,143481,8842260,Tug,40.443565,-80.023005,2014-08-12 07:02:33.067,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00105639
22,229,143481,8842260,Tug,40.43652833,-80.00478833,2014-08-14 03:42:12.610,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.05,1,0.014501179,1,0.01273508
23,230,143481,8842260,Tug,40.44356,-80.02302833,2014-08-14 04:00:13.250,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00106863
24,231,143481,8842260,Tug,40.44348667,-80.02305167,2014-08-14 04:30:33.157,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00114557
25,232,143481,8842260,Tug,40.44601833,-80.00167167,2014-08-15 05:07:01.517,24,8,"River Salvage Co., Allegheny River Dock, PA",0.42,1,0.014501179,1,0.0149092
26,233,143481,8842260,Tug,40.44461167,-80.024875,2014-08-15 05:31:22.377,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.05,1,0.014501179,1,0.00066735
27,234,143481,8842260,Tug,40.44440667,-80.02651833,2014-08-15 06:04:41.917,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00139041
28,235,143481,8842260,Tug,40.4446,-80.02662667,2014-08-15 07:18:02.747,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00124224
29,236,143481,8842260,Tug,40.44458667,-80.02656333,2014-08-15 07:50:21.870,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00123447
30,237,143481,8842260,Tug,40.44444167,-80.02485333,2014-08-15 08:00:43.103,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00082133
31,238,143481,8842260,Tug,40.44425667,-80.02308333,2014-08-15 08:30:42.510,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.11,1,0.014501179,1,0.00042674
