FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,OBJECTID,Shape_Leng,RiverMile,Distance
0,102,143481,8842260,Tug,40.4447,-80.026435,2014-12-03 22:42:41.770,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00108586
1,103,143481,8842260,Tug,40.44468667,-80.02649,2014-12-03 23:04:52.190,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00111619
2,104,143481,8842260,Tug,40.44464333,-80.02650333,2014-12-03 23:33:12.083,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00116151
3,105,143481,8842260,Tug,40.44467333,-80.02648833,2014-12-04 00:01:01.363,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00112828
4,106,143481,8842260,Tug,40.43638833,-80.00421667,2014-12-05 03:25:25.063,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.06,1,0.014501179,1,0.01330833
5,107,143481,8842260,Tug,40.44197333,-80.01709333,2014-12-05 03:31:02.227,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.13,1,0.014501179,1,0.00066046
6,177,143481,8842260,Tug,40.44488167,-80.02638833,2014-12-10 15:05:12.607,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00089884
7,178,143481,8842260,Tug,40.44469333,-80.02577833,2014-12-10 15:31:01.183,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00088081
8,179,143481,8842260,Tug,40.443955,-80.024135,2014-12-10 16:05:19.567,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00105087
9,180,143481,8842260,Tug,40.44624667,-80.00106333,2014-12-11 13:51:19.380,24,8,"River Salvage Co., Allegheny River Dock, PA",0.39,1,0.014501179,1,0.01555524
10,181,143481,8842260,Tug,40.44433333,-80.02199667,2014-12-11 14:00:27.063,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.16,1,0.014501179,1,0.00000438
11,182,143481,8842260,Tug,40.444115,-80.02355833,2014-12-11 14:35:27.853,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00071377
12,183,143481,8842260,Tug,40.44461667,-80.02650333,2014-12-11 15:52:37.000,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00118675
13,184,143481,8842260,Tug,40.44473833,-80.02641833,2014-12-11 16:35:47.430,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00104421
14,185,143481,8842260,Tug,40.444635,-80.02647667,2014-12-11 18:45:41.470,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00116082
15,186,143481,8842260,Tug,40.444655,-80.026455,2014-12-11 19:04:46.757,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00113491
16,187,143481,8842260,Tug,40.443485,-80.02166167,2014-12-11 19:30:06.020,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.17,1,0.014501179,1,0.00069973
17,188,143481,8842260,Tug,40.443675,-80.02321167,2014-12-11 20:01:08.057,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00101876
18,189,143481,8842260,Tug,40.438605,-80.01024167,2014-12-13 04:53:18.567,24,8,"Penn Lincoln Pkwy, Monongahela River, PA",0.04,1,0.014501179,1,0.00696455
19,190,143481,8842260,Tug,40.44454667,-80.02420333,2014-12-13 05:00:19.107,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.07,1,0.014501179,1,0.00051269
20,191,143481,8842260,Tug,40.44402667,-80.02429167,2014-12-13 05:30:24.610,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00103345
21,192,143481,8842260,Tug,40.44443333,-80.024835,2014-12-13 06:01:16.490,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00082332
22,193,143481,8842260,Tug,40.444665,-80.02432167,2014-12-13 06:30:23.647,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.07,1,0.014501179,1,0.00043875
23,230,143481,8842260,Tug,40.44637833,-80.00051333,2014-12-15 17:40:40.887,24,8,"River Salvage Co., Allegheny River Dock, PA",0.36,1,0.014501179,1,0.01612068
24,231,143481,8842260,Tug,40.44329667,-80.02263167,2014-12-15 18:08:36.387,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.13,1,0.014501179,1,0.00119027
25,232,143481,8842260,Tug,40.44508,-80.02468667,2014-12-15 18:30:06.477,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.08,1,0.014501179,1,0.00016332
26,233,143481,8842260,Tug,40.444555,-80.02483333,2014-12-15 19:01:07.650,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00070759
27,234,143481,8842260,Tug,40.44458667,-80.02482333,2014-12-15 19:31:01.530,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.05,1,0.014501179,1,0.00067439
28,235,143481,8842260,Tug,40.44407667,-80.024045,2014-12-15 20:06:06.493,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00090671
