FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,IsSat,OBJECTID,Shape_Leng,RiverMile,Distance
0,280,143481,8842260,Tug,40.443985,-80.02389667,2014-02-18 11:00:14.460,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00094576
1,281,143481,8842260,Tug,40.44400167,-80.02388667,2014-02-18 11:30:35.763,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00092675
2,282,143481,8842260,Tug,40.44402833,-80.02393333,2014-02-18 12:00:36.427,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00091653
3,283,143481,8842260,Tug,40.444075,-80.02396333,2014-02-18 12:30:16.150,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.000882
4,284,143481,8842260,Tug,40.44402333,-80.0239,2014-02-18 13:00:14.893,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00091054
5,285,143481,8842260,Tug,40.443995,-80.02388167,2014-02-18 13:30:15.150,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00093146
6,286,143481,8842260,Tug,40.444025,-80.02391167,2014-02-18 14:00:16.327,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00091271
7,287,143481,8842260,Tug,40.444015,-80.02391333,2014-02-18 14:32:35.433,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00092272
8,288,143481,8842260,Tug,40.44402167,-80.02389667,2014-02-18 15:00:36.497,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00091104
9,289,143481,8842260,Tug,40.44399333,-80.02387167,2014-02-18 15:30:36.630,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00092982
10,290,143481,8842260,Tug,40.44404167,-80.023805,2014-02-18 16:01:15.800,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00086259
11,291,143481,8842260,Tug,40.44402333,-80.023905,2014-02-18 16:30:15.317,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00091215
12,292,143481,8842260,Tug,40.444065,-80.02384833,2014-02-18 17:00:35.840,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00085445
13,293,143481,8842260,Tug,40.444075,-80.02391167,2014-02-18 17:31:36.003,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00086537
14,294,143481,8842260,Tug,40.44404667,-80.02389167,2014-02-18 18:01:16.010,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00088576
15,295,143481,8842260,Tug,40.443975,-80.02399167,2014-02-18 18:30:35.907,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.0009858
16,296,143481,8842260,Tug,40.44402833,-80.023855,2014-02-18 19:00:16.053,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00089132
17,297,143481,8842260,Tug,40.44401167,-80.02383167,2014-02-18 19:30:26.153,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00089958
18,298,143481,8842260,Tug,40.44403667,-80.02391833,2014-02-18 20:00:26.113,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00090381
19,299,143481,8842260,Tug,40.444035,-80.02386167,2014-02-18 20:30:26.417,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00088715
20,300,143481,8842260,Tug,40.44402333,-80.02390833,2014-02-18 21:01:25.770,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00091322
21,301,143481,8842260,Tug,40.443965,-80.02387333,2014-02-18 21:30:06.147,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00095718
22,302,143481,8842260,Tug,40.44404167,-80.023905,2014-02-18 22:00:26.343,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00089478
23,303,143481,8842260,Tug,40.44399833,-80.023875,2014-02-18 22:30:46.897,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00092616
24,304,143481,8842260,Tug,40.44406667,-80.02391,2014-02-18 23:00:46.857,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00087272
25,305,143481,8842260,Tug,40.44404333,-80.02388167,2014-02-18 23:30:06.470,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.0008857
26,306,143481,8842260,Tug,40.44397,-80.02386167,2014-02-19 00:00:06.463,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00094869
27,307,143481,8842260,Tug,40.444035,-80.02397833,2014-02-19 00:30:06.203,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.0009247
28,308,143481,8842260,Tug,40.444055,-80.02389333,2014-02-19 01:00:25.977,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00087841
29,309,143481,8842260,Tug,40.444,-80.02388167,2014-02-19 01:30:46.940,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00092673
30,310,143481,8842260,Tug,40.44406667,-80.02396,2014-02-19 02:00:05.943,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00088882
31,311,143481,8842260,Tug,40.44398833,-80.02392333,2014-02-19 02:30:25.953,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00095118
32,312,143481,8842260,Tug,40.44406,-80.02392,2014-02-19 03:00:25.413,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00088226
33,313,143481,8842260,Tug,40.44400667,-80.0239,2014-02-19 03:30:47.200,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00092631
34,314,143481,8842260,Tug,40.44411167,-80.02395833,2014-02-19 04:00:06.190,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00084568
35,315,143481,8842260,Tug,40.44455333,-80.02449333,2014-02-19 04:30:26.150,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.06,N,1,0.014501179,1,0.00059973
36,316,143481,8842260,Tug,40.444705,-80.02634,2014-02-19 05:00:15.127,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00105055
37,317,143481,8842260,Tug,40.444705,-80.02632,2014-02-19 05:30:35.477,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00104411
38,318,143481,8842260,Tug,40.44476167,-80.026365,2014-02-19 06:00:35.280,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00100494
39,319,143481,8842260,Tug,40.43593167,-80.00304333,2014-02-19 06:32:55.230,24,8,"Gateway Clipper, Station Square Dock, PA",0.17,N,1,0.014501179,1,0.01456249
40,320,143481,8842260,Tug,40.43822333,-80.00950333,2014-02-20 00:49:46.343,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.13,N,1,0.014501179,1,0.00779277
41,463,143481,8842260,Tug,40.44386833,-80.02315667,2014-02-28 19:32:24.623,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00081802
42,464,143481,8842260,Tug,40.443455,-80.02318333,2014-02-28 20:01:15.007,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,N,1,0.014501179,1,0.00121793
