FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,OBJECTID,Shape_Leng,RiverMile,Distance
0,0,143481,8842260,Tug,40.43604167,-80.00349167,2014-07-01 00:41:22.647,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.09,1,0.014501179,1,0.01411183
1,1,143481,8842260,Tug,40.44463667,-80.02544333,2014-07-01 01:00:03.403,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00082662
2,2,143481,8842260,Tug,40.44468333,-80.02637,2014-07-01 01:32:23.563,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00108072
3,3,143481,8842260,Tug,40.44475667,-80.02650167,2014-07-01 02:18:03.053,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00105367
4,4,143481,8842260,Tug,40.44465333,-80.026425,2014-07-01 02:32:43.650,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00112683
5,5,143481,8842260,Tug,40.44468167,-80.02641,2014-07-01 03:07:03.627,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00109517
6,6,143481,8842260,Tug,40.44492667,-80.02632,2014-07-01 03:32:42.360,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00083424
7,8,143481,8842260,Tug,40.444715,-80.02640833,2014-07-01 04:31:42.630,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00106308
8,9,143481,8842260,Tug,40.44473167,-80.026455,2014-07-01 05:13:01.927,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00106232
9,10,143481,8842260,Tug,40.44472,-80.02647167,2014-07-01 05:51:03.470,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00107873
10,11,143481,8842260,Tug,40.44474833,-80.02645,2014-07-01 06:12:03.137,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00104493
11,12,143481,8842260,Tug,40.44469333,-80.02640333,2014-07-01 06:41:22.890,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00108198
