FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,OBJECTID,Shape_Leng,RiverMile,Distance
0,0,143481,8842260,Tug,40.44490167,-80.02581333,2014-06-01 00:51:11.627,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00069482
1,1,143481,8842260,Tug,40.44488667,-80.02586,2014-06-01 06:12:50.983,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00072404
2,2,143481,8842260,Tug,40.44486167,-80.02576667,2014-06-01 09:15:29.200,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00071767
3,3,143481,8842260,Tug,40.44491833,-80.02582167,2014-06-01 09:32:49.700,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00068173
4,4,143481,8842260,Tug,40.44493167,-80.02583667,2014-06-01 16:29:29.710,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00067393
5,5,143481,8842260,Tug,40.444915,-80.02583333,2014-06-01 16:30:49.930,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00068864
6,6,143481,8842260,Tug,40.43634,-80.00413667,2014-06-04 04:44:24.060,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.06,1,0.014501179,1,0.0134015
7,79,143481,8842260,Tug,40.44475667,-80.02516833,2014-06-06 13:31:03.490,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.05,1,0.014501179,1,0.00062449
8,80,143481,8842260,Tug,40.44542167,-80.02616333,2014-06-06 14:00:22.333,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.09,1,0.014501179,1,0.00031516
9,81,143481,8842260,Tug,40.44454833,-80.025145,2014-06-06 14:30:03.523,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00081423
10,82,143481,8842260,Tug,40.44342167,-80.01761833,2014-06-06 15:03:03.050,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.11,1,0.014501179,1,0.00054181
11,83,143481,8842260,Tug,40.444765,-80.00670667,2014-06-07 16:06:22.630,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.39,1,0.014501179,1,0.00972067
12,84,143481,8842260,Tug,40.44438833,-80.02417167,2014-06-07 16:30:23.680,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.06,1,0.014501179,1,0.00065241
13,85,143481,8842260,Tug,40.44464833,-80.02642,2014-06-07 17:00:23.683,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00112996
14,86,143481,8842260,Tug,40.44460667,-80.02642667,2014-06-07 17:30:22.950,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00117155
15,87,143481,8842260,Tug,40.444575,-80.02642333,2014-06-07 18:00:02.250,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00120045
16,88,143481,8842260,Tug,40.44461333,-80.02648167,2014-06-07 18:31:03.533,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00118294
17,89,143481,8842260,Tug,40.44456833,-80.026425,2014-06-07 19:02:03.510,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00120731
18,90,143481,8842260,Tug,40.444585,-80.02651333,2014-06-07 19:30:02.820,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00121996
19,91,143481,8842260,Tug,40.438365,-80.00982667,2014-06-09 16:19:04.000,24,8,"Penn Lincoln Pkwy, Monongahela River, PA",0.06,1,0.014501179,1,0.00744356
20,92,143481,8842260,Tug,40.44391667,-80.02401833,2014-06-09 16:33:03.880,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00104961
21,93,143481,8842260,Tug,40.443585,-80.01413833,2014-06-10 13:59:30.780,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0,1,0.014501179,1,0.00234031
22,94,143481,8842260,Tug,40.44386167,-80.01863333,2014-06-10 14:01:31.033,24,8,"Carnegie Science Center, Pittsburgh, PA",0.09,1,0.014501179,1,0.00063168
23,95,143481,8842260,Tug,40.44383333,-80.0232,2014-06-10 14:32:50.187,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00086511
24,96,143481,8842260,Tug,40.44365833,-80.02333333,2014-06-10 15:02:10.777,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00107371
25,97,143481,8842260,Tug,40.44355667,-80.02201167,2014-06-10 15:31:10.103,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.16,1,0.014501179,1,0.00074453
