FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,OBJECTID,Shape_Leng,RiverMile,Distance
0,0,143481,8842260,Tug,40.44363833,-80.01943833,2014-03-02 03:17:35.413,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.19,1,0.014501179,1,0.0001611
1,1,143481,8842260,Tug,40.44418833,-80.02488167,2014-03-02 03:30:25.847,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00107031
2,2,143481,8842260,Tug,40.44466,-80.02641333,2014-03-02 04:00:06.117,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00111676
3,3,143481,8842260,Tug,40.44468,-80.02642,2014-03-02 04:30:04.547,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00109997
4,4,143481,8842260,Tug,40.44471333,-80.026465,2014-03-02 05:00:05.850,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.0010829
5,5,143481,8842260,Tug,40.44469833,-80.02644833,2014-03-02 05:30:44.407,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00109174
6,6,143481,8842260,Tug,40.44469333,-80.026475,2014-03-02 06:00:25.913,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00110505
7,7,143481,8842260,Tug,40.44462333,-80.02637833,2014-03-02 06:30:04.953,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00114021
8,8,143481,8842260,Tug,40.44469667,-80.02635167,2014-03-02 07:01:05.663,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00106219
9,9,143481,8842260,Tug,40.44469667,-80.026475,2014-03-02 07:30:45.187,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00110189
10,10,143481,8842260,Tug,40.4441,-80.02352667,2014-03-02 08:00:25.210,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00071778
11,11,143481,8842260,Tug,40.44372833,-80.02325167,2014-03-02 08:36:24.110,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00098115
12,12,143481,8842260,Tug,40.44423667,-80.024925,2014-03-02 09:20:43.910,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00103849
13,13,143481,8842260,Tug,40.44444833,-80.025205,2014-03-02 09:35:43.687,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00092822
14,14,143481,8842260,Tug,40.44437167,-80.02521167,2014-03-02 10:01:45.497,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00100295
15,15,143481,8842260,Tug,40.4447,-80.02521667,2014-03-02 10:31:05.383,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.0006937
16,103,143481,8842260,Tug,40.444305,-80.024395,2014-03-05 10:31:29.760,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00080319
17,104,143481,8842260,Tug,40.44427167,-80.00910333,2014-03-07 14:34:50.167,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.28,1,0.014501179,1,0.00727771
18,105,143481,8842260,Tug,40.44446833,-80.02532333,2014-03-07 15:02:20.063,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00094737
19,106,143481,8842260,Tug,40.44368,-80.02422833,2014-03-07 15:33:00.867,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00134128
20,107,143481,8842260,Tug,40.44368667,-80.02417,2014-03-07 16:01:00.373,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00131619
21,108,143481,8842260,Tug,40.438945,-80.01020167,2014-03-08 06:15:20.717,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.17,1,0.014501179,1,0.00682295
