FID,FID_1,MMSI,IMONumber,VesselType,Latitude,Longitude,PositionTi,Vessel_Len,Vessel_Bre,POI_Name,POIDistanc,OBJECTID,Shape_Leng,RiverMile,Distance
0,0,143481,8842260,Tug,40.44601667,-80.00197667,2014-05-01 01:54:04.420,24,8,"Conrail RR Bridge, Pittsburgh, PA - 117U",0.29,1,0.014501179,1,0.01461341
1,1,143481,8842260,Tug,40.4437,-80.01665667,2014-05-01 02:00:26.097,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.06,1,0.014501179,1,0.00111487
2,60,143481,8842260,Tug,40.44392333,-80.01114167,2014-05-02 08:30:15.970,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.18,1,0.014501179,1,0.00522405
3,61,143481,8842260,Tug,40.44368667,-80.01233333,2014-05-04 02:16:08.313,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.13,1,0.014501179,1,0.004019
4,62,143481,8842260,Tug,40.44403,-80.02339667,2014-05-04 02:31:06.827,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00074221
5,63,143481,8842260,Tug,40.44432167,-80.02412667,2014-05-04 03:00:18.113,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00070104
6,64,143481,8842260,Tug,40.44430667,-80.02404333,2014-05-04 03:30:37.807,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00068841
7,144,143481,8842260,Tug,40.44382667,-80.02376333,2014-05-05 20:31:56.687,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00105274
8,145,143481,8842260,Tug,40.444605,-80.02653833,2014-05-05 22:27:56.057,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00120907
9,146,143481,8842260,Tug,40.44447,-80.024245,2014-05-05 22:30:16.370,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.06,1,0.014501179,1,0.00059869
10,147,143481,8842260,Tug,40.44387333,-80.02372667,2014-05-05 23:00:59.537,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00099676
11,148,143481,8842260,Tug,40.44380333,-80.02377833,2014-05-05 23:32:16.497,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00107967
12,149,143481,8842260,Tug,40.44384167,-80.02377167,2014-05-06 00:00:36.910,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00104122
13,150,143481,8842260,Tug,40.44377833,-80.023795,2014-05-06 00:30:57.887,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.0011087
14,151,143481,8842260,Tug,40.44385667,-80.02377833,2014-05-06 01:01:17.800,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00102916
15,152,143481,8842260,Tug,40.443865,-80.023795,2014-05-06 01:30:17.523,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00102664
16,153,143481,8842260,Tug,40.44379833,-80.02366833,2014-05-06 02:01:37.627,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00104899
17,154,143481,8842260,Tug,40.44386667,-80.02373167,2014-05-06 02:34:57.857,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00100468
18,155,143481,8842260,Tug,40.44381833,-80.02373667,2014-05-06 03:01:57.347,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00105205
19,156,143481,8842260,Tug,40.44386833,-80.02377167,2014-05-06 03:31:56.977,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00101598
20,157,143481,8842260,Tug,40.44382333,-80.02382833,2014-05-06 04:00:17.250,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00107682
21,158,143481,8842260,Tug,40.44386667,-80.023755,2014-05-06 04:35:17.603,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00101219
22,159,143481,8842260,Tug,40.44322667,-80.02058,2014-05-06 05:01:17.717,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0.22,1,0.014501179,1,0.00059613
23,160,143481,8842260,Tug,40.440705,-80.01415333,2014-05-07 00:30:35.967,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.18,1,0.014501179,1,0.00255754
24,194,143481,8842260,Tug,40.43658333,-80.006375,2014-05-07 17:41:13.673,24,8,"Gateway Clipper, Station Square Dock, PA",0,1,0.014501179,1,0.01131832
25,195,143481,8842260,Tug,40.43894667,-80.010695,2014-05-09 17:09:59.150,24,8,"City of Pittsburgh, Point Mooring and Wharf, PA",0.19,1,0.014501179,1,0.00639885
26,197,143481,8842260,Tug,40.44437,-80.008715,2014-05-09 18:01:00.783,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.3,1,0.014501179,1,0.00767821
27,198,143481,8842260,Tug,40.44603333,-80.00163833,2014-05-11 13:44:18.967,24,8,"Conrail RR Bridge, Pittsburgh, PA - 117U",0.28,1,0.014501179,1,0.01494521
28,199,143481,8842260,Tug,40.441315,-80.01702667,2014-05-11 14:00:40.133,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.16,1,0.014501179,1,0.00126229
29,200,143481,8842260,Tug,40.44340333,-80.02334167,2014-05-11 14:30:19.547,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00131782
30,201,143481,8842260,Tug,40.44212833,-80.01792333,2014-05-11 15:01:18.947,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.15,1,0.014501179,1,0.00078087
31,232,143481,8842260,Tug,40.44594167,-80.00194,2014-05-13 06:26:24.800,24,8,"Conrail RR Bridge, Pittsburgh, PA - 117U",0.29,1,0.014501179,1,0.01463026
32,233,143481,8842260,Tug,40.44369833,-80.01211,2014-05-13 06:30:24.820,24,8,"Mile 0 Allegheny River, Pittsburgh, PA - 10EY",0.14,1,0.014501179,1,0.00423381
33,234,143481,8842260,Tug,40.44448167,-80.02652667,2014-05-13 07:01:05.357,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00132208
34,235,143481,8842260,Tug,40.444655,-80.02649333,2014-05-13 07:31:25.193,24,8,"Tri-River Marine, Dock and Fleet Mooring, PA",0,1,0.014501179,1,0.00114724
