"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"37365",1,270,15,65,"37","9",0,0,0,0,"302"
"49005",1,270,15,98,"74","23",0,0,0,0,"2426"
"56706",1,270,15,110,"74","17",0,0,0,0,"2009"
"180775",1,270,15,435,"74","12",0,0,0,0,"897"
"339298",1,270,15,848,"74","20",0,0,0,0,"2056"
"374098",1,270,15,930,"74","11",0,0,0,0,"1322"
"389601",1,270,11,977,"58","28",0,0,0,0,"1783"
"436074",1,270,11,1097,"74","3",0,0,0,0,"382"
"447791",1,270,15,1127,"71","10",0,0,0,0,"1645"
"467241",1,270,15,1173,"74","14",0,0,0,0,"2252"
"525422",1,270,13,1321,"74","3",0,0,0,0,"2394"
"564149",1,270,8,1424,"74","15",0,0,0,0,"2312"
"571923",1,270,15,1441,"74","18",0,0,0,0,"415"
"626083",1,270,15,1589,"74","8",0,0,0,0,"1064"
"637691",1,270,15,1617,"74","19",0,0,0,0,"2442"
"719186",1,270,7,1828,"74","2",0,0,0,0,"1787"
"761769",1,270,15,1936,"48","17",0,0,0,0,"2062"
"792650",1,270,15,2013,"74","3",0,0,0,0,"2200"
"827456",1,270,15,2107,"74","25",0,0,0,0,"1068"
"908199",1,270,15,2313,"74","18",0,0,0,0,"2068"
"939145",1,270,15,2393,"74","17",0,0,0,0,"1989"
"1043540",1,270,15,2662,"74","16",0,0,0,0,"2072"
"1291125",1,270,15,3304,"71","11",0,0,0,0,"1880"
"1341521",1,270,10,3438,"57","11",0,0,0,0,"332"
"1380429",1,270,15,3537,"71","23",0,0,0,0,"1681"
"1403652",1,270,4,3592,"72","7",0,0,0,0,"267"
"1496485",1,270,15,3830,"37","14",0,0,0,0,"1046"
"1574073",1,270,15,4030,"74","24",0,0,0,0,"2476"
"1581771",1,270,15,4053,"61","6",0,0,0,0,"1902"
"1616600",1,270,15,4144,"62","23",0,0,0,0,"811"
