"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18039",2,270,11,15,"55","11",0,0,0,0,"2244"
"21932",2.5,270,15,25,"74","2",0,0,0,0,"447"
"41367",2.5,270,15,76,"74","39",0,0,0,0,"1915"
"45224",2.5,270,15,88,"73","5",0,0,0,0,"1556"
"56881",3.5,270,8,110,"74","17",0,0,0,0,"2009"
"130423",2.5,270,15,304,"74","2",0,0,0,0,"231"
"134350",2.5,270,11,310,"74","15",0,0,0,0,"2388"
"149745",168,270,8,356,"74","14",0,0,0,0,"639"
"172986",157.5,270,15,414,"62","30",0,0,0,0,"2013"
"235061",93,270,15,570,"74","16",0,0,0,0,"2430"
"250518",76.5,270,4,615,"74","14",0,0,0,0,"2310"
"300740",31.5,270,15,747,"74","10",0,0,0,0,"1853"
"308443",26,270,15,762,"74","29",0,0,0,0,"2005"
"331653",4,270,11,825,"71","13",0,0,0,0,"1637"
"331657",3.5,270,15,829,"62","3",0,0,0,0,"527"
"335545",3,270,12,839,"74","31",0,0,0,0,"1753"
"339404",3,270,15,848,"74","20",0,0,0,0,"2056"
"343261",2,270,3,850,"62","12",0,0,0,0,"1892"
"374254",1.5,270,7,930,"74","11",0,0,0,0,"1322"
"389717",3,270,15,977,"58","28",0,0,0,0,"1783"
"424439",1.5,270,12,1069,"71","19",0,0,0,0,"1755"
"436080",2.5,270,15,1097,"74","3",0,0,0,0,"382"
"447682",2.5,270,15,1127,"71","10",0,0,0,0,"1645"
"482340",1.5,270,4,1210,"62","22",0,0,0,0,"529"
"505633",2.5,270,15,1276,"74","13",0,0,0,0,"1060"
"525018",3.5,270,11,1321,"74","3",0,0,0,0,"2394"
"544475",2.5,270,4,1377,"62","30",0,0,0,0,"1965"
"625774",2.5,270,15,1589,"74","8",0,0,0,0,"1064"
"629585",3,270,11,1590,"74","38",0,0,0,0,"2316"
"637296",2.5,270,15,1616,"71","38",0,0,0,0,"1647"
"637297",3,270,15,1617,"74","19",0,0,0,0,"2442"
"648846",3.5,270,13,1644,"55","29",0,0,0,0,"1734"
"668195",2.5,270,15,1691,"74","36",0,0,0,0,"2320"
"695267",2.5,270,15,1764,"57","37",0,0,0,0,"651"
"695270",2,270,12,1766,"74","34",0,0,0,0,"2444"
"699161",2.5,270,15,1771,"74","32",0,0,0,0,"453"
"703059",1.5,270,10,1785,"74","11",0,0,0,0,"239"
"710757",3,270,15,1803,"74","6",0,0,0,0,"1066"
"718442",3,270,15,1828,"74","2",0,0,0,0,"1787"
"722295",1.5,270,6,1838,"74","8",0,0,0,0,"2060"
"741738",2.5,270,15,1880,"74","38",0,0,0,0,"2448"
"741743",2.5,270,15,1889,"74","2",0,0,0,0,"2258"
"761058",5.5,270,4,1935,"74","18",0,0,0,0,"386"
"764932",7.5,270,15,1942,"62","29",0,0,0,0,"1983"
"788215",2.5,270,15,2008,"74","5",0,0,0,0,"653"
"799840",2,270,11,2030,"74","37",0,0,0,0,"241"
"799842",4,270,15,2034,"74","9",0,0,0,0,"2450"
"803727",2,270,8,2047,"58","19",0,0,0,0,"1793"
"819322",1.5,270,9,2082,"74","9",0,0,0,0,"1326"
"827072",3.5,270,15,2107,"74","25",0,0,0,0,"1068"
"877465",2.5,270,14,2231,"74","32",0,0,0,0,"1987"
"881292",2.5,270,15,2240,"74","2",0,0,0,0,"455"
"881294",3,270,15,2249,"71","27",0,0,0,0,"1665"
"951092",2.5,270,15,2425,"74","19",0,0,0,0,"655"
"982039",2.5,270,4,2508,"74","11",0,0,0,0,"326"
"1005172",3,270,15,2567,"71","19",0,0,0,0,"1857"
"1013004",2.5,270,15,2583,"74","10",0,0,0,0,"259"
"1013005",2.5,270,15,2585,"74","29",0,0,0,0,"2324"
"1028489",2.5,270,15,2626,"71","4",0,0,0,0,"1679"
"1067300",2.5,270,14,2724,"74","30",0,0,0,0,"1078"
"1098333",1.5,270,4,2801,"65","26",0,0,0,0,"1995"
"1129407",2.5,270,15,2880,"71","39",0,0,0,0,"1663"
"1175968",2.5,270,15,3009,"74","33",0,0,0,0,"1080"
"1203111",5.5,270,15,3072,"74","11",0,0,0,0,"1378"
"1214709",2.5,270,14,3107,"74","19",0,0,0,0,"1999"
"1226390",3,270,9,3134,"74","9",0,0,0,0,"263"
"1249544",1.5,270,8,3198,"74","27",0,0,0,0,"2266"
"1257287",2.5,270,15,3218,"74","32",0,0,0,0,"2458"
"1280413",3,270,13,3278,"71","11",0,0,0,0,"2418"
"1319052",2.5,270,15,3372,"74","37",0,0,0,0,"1084"
"1361579",2.5,270,15,3482,"71","17",0,0,0,0,"2082"
"1381075",4,270,15,3537,"71","23",0,0,0,0,"1681"
"1384967",4,270,15,3541,"74","40",0,0,0,0,"2001"
"1392680",3,270,15,3568,"61","10",0,0,0,0,"2466"
"1404358",2.5,270,15,3592,"72","7",0,0,0,0,"267"
"1474211",2.5,270,15,3777,"74","40",0,0,0,0,"2468"
"1485948",1.5,270,4,3805,"57","38",0,0,0,0,"1098"
"1559761",1.5,270,11,3995,"74","13",0,0,0,0,"2334"
"1563628",3,270,15,4004,"74","13",0,0,0,0,"1102"
"1583053",2.5,270,15,4056,"74","31",0,0,0,0,"2090"
"1586974",2.5,270,4,4068,"74","29",0,0,0,0,"709"
"1617986",2,270,9,4144,"62","23",0,0,0,0,"811"
"1633398",1.5,270,9,4180,"58","37",0,0,0,0,"2478"
"1641177",1.5,270,11,4207,"74","30",0,0,0,0,"711"
"1645038",3.5,270,15,4211,"74","16",0,0,0,0,"1180"
