"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1000932",270,2552,"74","38",2565,"1076",6.5
"1000933",270,2554,"74","70",2555,"2070",0.5
"1004774",90,2561,"37","74",2601,"242",20
"1004775",90,2566,"70","74",2568,"2071",1
"1004776",270,2567,"71","19",2588,"1857",10.5
"1012563",270,2583,"74","10",2614,"259",15.5
"1012564",270,2585,"74","29",2611,"2324",13
"1020326",90,2609,"38","74",2645,"1077",18
"1028063",270,2626,"71","4",2662,"1679",18
"1035854",270,2640,"74","3",2667,"243",13.5
"1043540",270,2662,"74","16",2685,"2072",11.5
"1043541",90,2664,"61","74",2679,"1992",7.5
"1051227",90,2680,"8","31",2698,"1831",9
"1058933",90,2706,"16","37",2724,"2073",9
"1066729",270,2724,"74","30",2743,"1078",9.5
"1078351",90,2753,"36","65",2782,"1994",14.5
"1078352",270,2753,"37","32",2754,"2074",0.5
"1086033",90,2774,"37","74",2819,"2261",22.5
"1086034",90,2778,"32","74",2821,"2075",21.5
"1097580",90,2800,"11","74",2849,"327",24.5
"1097581",270,2800,"19","1",2805,"842",2.5
"1097582",270,2801,"65","26",2824,"1995",11.5
"1097583",270,2807,"74","7",2836,"657",14.5
"1101469",270,2816,"74","11",2853,"2262",18.5
"1105295",90,2821,"1","23",2836,"843",7.5
"1105296",90,2822,"7","28",2842,"1549",10
"1105297",90,2825,"26","74",2877,"1996",26
"1105298",270,2825,"29","11",2832,"923",3.5
"110821",90,254,"37","74",329,"2307",37.5
"110822",90,257,"4","30",274,"2195",8.5
"1112979",90,2847,"11","24",2853,"924",3
"1116866",90,2850,"13","29",2871,"1551",10.5
"1120812",270,2865,"74","37",2879,"1261",7
"1124718",90,2872,"10","18",2884,"900",6
"1124720",90,2874,"68","71",2875,"1662",0.5
"1128611",270,2880,"71","39",2894,"1663",7
"1128612",270,2886,"74","28",2908,"2076",11
"1132443",270,2892,"74","37",2906,"328",7
"1132444",90,2895,"29","74",2947,"2325",26
"1132445",270,2895,"18","11",2896,"901",0.5
"1140146",90,2916,"28","74",2966,"2077",25
"1140147",90,2919,"3","28",2933,"2201",7
"1143963",270,2922,"31","20",2924,"1859",1
"114679",90,260,"61","74",275,"1924",7.5
"1151706",270,2945,"48","30",2950,"2408",2.5
"1151707",270,2948,"28","11",2955,"2202",3.5
"1155548",270,2953,"74","5",2984,"2328",15.5
"1159374",270,2965,"74","16",2983,"1263",9
"1159375",90,2966,"5","12",2973,"760",3.5
"1163236",90,2973,"66","74",2978,"743",2.5
"1170942",90,2992,"11","74",3072,"1377",40
"1170944",90,2995,"11","28",3016,"762",10.5
"1170945",270,2999,"74","62",3001,"1997",1
"1174831",90,3003,"62","74",3014,"1998",5.5
"1174832",270,3009,"74","33",3030,"1080",10.5
"118590",90,278,"18","20",279,"1005",0.5
"1186503",90,3039,"24","61",3061,"2453",11
"1194209",90,3051,"10","58",3091,"260",20
"1198081",90,3063,"16","74",3134,"1264",35.5
"1198082",270,3063,"19","13",3064,"880",0.5
"1198083",270,3066,"61","37",3071,"2454",2.5
"1198084",270,3067,"74","2",3101,"2078",17
"1201935",270,3072,"74","11",3104,"1378",16
"1201936",90,3075,"61","62",3076,"941",0.5
"1205799",90,3080,"57","74",3094,"262",7
"1205800",90,3089,"37","74",3136,"2455",23.5
"1213588",270,3107,"74","19",3130,"1999",11.5
"1217420",90,3111,"11","74",3274,"2263",81.5
"122466",270,281,"30","3",291,"2196",5
"1225184",270,3134,"74","9",3162,"263",14
"1225185",90,3137,"9","74",3257,"542",60
"1229046",270,3148,"74","4",3171,"1265",11.5
"1232932",270,3156,"74","11",3183,"1082",13.5
"1232933",270,3158,"16","6",3160,"829",1
"1244439",90,3180,"30","67",3256,"2409",38
"1244440",90,3184,"6","10",3186,"830",1
"1248288",270,3198,"74","27",3217,"2266",9.5
"1252155",90,3205,"65","71",3209,"2411",2
"1252156",90,3208,"11","74",3288,"1083",40
"1252157",270,3208,"74","67",3209,"2456",0.5
"1256043",90,3213,"67","74",3223,"2457",5
"1256045",90,3215,"69","74",3218,"2413",1.5
"1256046",270,3218,"74","32",3231,"2458",6.5
"1263863",90,3231,"26","28",3232,"1862",0.5
"1263864",90,3234,"5","74",3294,"2329",30
"1271615",90,3255,"32","69",3316,"2459",30.5
"1271616",270,3255,"28","8",3263,"1863",4
"1275523",90,3268,"71","74",3270,"2415",1
"1279444",270,3270,"74","67",3271,"2416",0.5
"1279445",90,3275,"67","71",3277,"2417",1
"1279446",90,3278,"26","71",3316,"1879",19
"1279447",270,3278,"71","11",3310,"2418",16
"1287264",90,3293,"68","74",3301,"2461",4
"1291125",270,3304,"71","11",3333,"1880",14.5
"1298906",270,3322,"74","9",3350,"2330",14
"1298907",90,3328,"27","38",3335,"2006",3.5
"130217",90,304,"6","74",367,"2249",31.5
"130218",270,304,"74","2",341,"231",18.5
"1310574",90,3353,"27","74",3388,"2267",17.5
"1314420",90,3368,"10","29",3383,"957",7.5
"1318301",270,3372,"74","37",3390,"1084",9
"1318302",270,3379,"29","18",3381,"958",1
"1325973",90,3397,"19","74",3460,"2000",31.5
"1329854",270,3400,"26","19",3401,"1738",0.5
"1337652",90,3426,"55","56",3427,"2463",0.5
"1337653",270,3427,"56","28",3436,"2464",4.5
"1341520",270,3434,"74","37",3445,"2268",5.5
"1341521",270,3438,"57","11",3451,"332",6.5
"1345417",90,3447,"11","32",3462,"2419",7.5
"1353180",270,3467,"74","10",3490,"1088",11.5
"1353181",270,3469,"74","69",3470,"2080",0.5
"1357077",90,3478,"69","71",3479,"2081",0.5
"1360948",270,3482,"71","17",3503,"2082",10.5
"1360949",270,3486,"74","59",3493,"744",3.5
"1364850",90,3497,"4","71",3548,"1680",25.5
"1376552",90,3520,"28","61",3548,"2465",14
"1380428",270,3536,"61","9",3558,"2023",11
"1380429",270,3537,"71","23",3558,"1681",10.5
"138083",90,325,"17","62",360,"2010",17.5
"138085",90,329,"9","74",379,"1317",25
"1384345",90,3541,"10","74",3585,"1089",22
"1384346",270,3541,"74","40",3554,"2001",6.5
"1388247",90,3557,"13","74",3602,"458",22.5
"1392079",270,3568,"61","10",3587,"2466",9.5
"1399816",90,3588,"7","29",3607,"832",9.5
"1403652",270,3592,"72","7",3611,"267",9.5
"1411348",90,3617,"7","71",3683,"435",33
"1419164",90,3639,"10","74",3692,"2467",26.5
"1430706",90,3665,"7","74",3726,"268",30.5
"1430707",270,3665,"31","11",3672,"1832",3.5
"1434609",270,3672,"57","37",3676,"1092",2
"1438475",90,3686,"11","62",3734,"1833",24
"1438476",270,3686,"37","12",3698,"1040",6
"1438477",90,3689,"37","74",3724,"1093",17.5
"1450063",270,3712,"32","11",3721,"2420",4.5
"1450065",90,3719,"67","74",3732,"246",6.5
"1453911",270,3721,"74","29",3748,"705",13.5
"1453912",270,3728,"74","19",3757,"334",14.5
"1457788",90,3733,"18","25",3740,"959",3.5
"1457789",90,3736,"11","48",3771,"2421",17.5
"1457790",270,3736,"25","6",3747,"960",5.5
"145858",270,346,"74","28",366,"2250",10
"1461656",90,3749,"6","28",3769,"961",10
"1465552",90,3759,"17","74",3814,"2083",27.5
"1469423",90,3762,"19","56",3809,"335",23.5
"1469424",270,3765,"74","49",3777,"247",6
"1473280",270,3777,"74","40",3787,"2468",5
"1477112",270,3781,"74","59",3787,"1094",3
"1477113",90,3783,"9","62",3814,"2024",15.5
"1480980",270,3795,"60","56",3796,"1096",0.5
"1484837",270,3805,"57","38",3808,"1098",1.5
"1484838",90,3809,"40","74",3870,"2469",30.5
"1496484",90,3830,"11","74",3889,"1379",29.5
"1496486",270,3831,"74","11",3854,"459",11.5
"1496487",90,3834,"38","74",3870,"1099",18
"149734",270,356,"74","14",379,"639",11.5
"149735",270,359,"62","29",371,"777",6
"1511982",270,3878,"62","12",3895,"2029",8.5
"1523698",90,3901,"9","74",3949,"2331",24
"1523700",90,3906,"12","61",3956,"2030",25
"1527566",270,3913,"74","37",3927,"1100",7
"1527571",270,3918,"74","69",3919,"2470",0.5
"1531402",90,3920,"69","71",3921,"2471",0.5
"1531403",270,3920,"74","9",3948,"1384",14
"1531404",270,3925,"71","38",3938,"2472",6.5
"1535270",90,3931,"28","33",3935,"1559",2
"1542971",90,3951,"9","35",3970,"2423",9.5
"1542972",270,3951,"33","29",3952,"1560",0.5
"1542973",90,3954,"38","74",3985,"2473",15.5
"1546810",90,3960,"73","74",3961,"2333",0.5
"1546812",90,3967,"65","71",3975,"2087",4
"1550719",90,3975,"68","74",3986,"2089",5.5
