"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"37364",19,90,15,65,"10","74",0,0,0,0,"2008"
"56707",3.5,90,15,112,"28","74",0,0,0,0,"2051"
"64425",18,90,7,137,"23","69",0,0,0,0,"2427"
"76118",3.5,90,15,162,"5","74",0,0,0,0,"2387"
"83825",3.5,90,15,184,"19","74",0,0,0,0,"638"
"91523",3,90,15,207,"22","74",0,0,0,0,"230"
"95345",4.5,90,15,210,"19","62",0,0,0,0,"770"
"130217",3.5,90,15,304,"6","74",0,0,0,0,"2249"
"138083",2.5,90,15,325,"17","62",0,0,0,0,"2010"
"138085",2.5,90,15,329,"9","74",0,0,0,0,"1317"
"157496",6,90,12,372,"28","74",0,0,0,0,"1049"
"165235",4.5,90,15,393,"28","74",0,0,0,0,"2251"
"165237",3.5,90,15,398,"14","74",0,0,0,0,"640"
"203967",2.5,90,15,499,"11","62",0,0,0,0,"1319"
"219399",3,90,15,535,"19","74",0,0,0,0,"2053"
"223330",5.5,90,15,543,"12","74",0,0,0,0,"1051"
"238751",5.5,90,15,581,"2","74",0,0,0,0,"232"
"258090",6,90,15,631,"9","74",0,0,0,0,"1852"
"269683",2.5,90,15,662,"12","74",0,0,0,0,"1940"
"285251",3,90,13,709,"29","62",0,0,0,0,"520"
"292997",4.5,90,15,723,"16","74",0,0,0,0,"2431"
"296819",4.5,90,14,733,"10","74",0,0,0,0,"452"
"327719",2.5,90,15,819,"3","74",0,0,0,0,"1244"
"347036",5,90,4,866,"3","62",0,0,0,0,"528"
"350903",3,90,15,879,"3","74",0,0,0,0,"2393"
"354755",2.5,90,15,883,"20","74",0,0,0,0,"2057"
"381784",4.5,90,12,951,"18","74",0,0,0,0,"1053"
"385753",4,90,15,968,"11","74",0,0,0,0,"250"
"408907",6.5,90,5,1024,"6","74",0,0,0,0,"2199"
"408909",3,90,15,1027,"28","68",0,0,0,0,"1784"
"416699",4,90,11,1048,"10","74",0,0,0,0,"2059"
"455590",5,90,15,1147,"3","74",0,0,0,0,"383"
"475022",2.5,90,11,1190,"29","74",0,0,0,0,"1057"
"475024",5.5,90,15,1193,"13","74",0,0,0,0,"2441"
"475025",4.5,90,15,1196,"5","57",0,0,0,0,"650"
"490556",3,90,6,1237,"19","48",0,0,0,0,"1756"
"517733",4.5,90,15,1302,"9","74",0,0,0,0,"414"
"521574",3,90,15,1310,"14","74",0,0,0,0,"2311"
"521575",3.5,90,4,1316,"13","74",0,0,0,0,"1061"
"529258",4,90,4,1335,"6","68",0,0,0,0,"252"
"540806",7,90,15,1360,"6","74",0,0,0,0,"317"
"575839",5.5,90,15,1455,"15","55",0,0,0,0,"2313"
"583532",4,90,15,1479,"11","74",0,0,0,0,"1968"
"602817",2.5,90,15,1526,"29","74",0,0,0,0,"1063"
"622227",4.5,90,15,1574,"3","68",0,0,0,0,"2395"
"641557",3.5,90,15,1621,"11","55",0,0,0,0,"1733"
"641558",6,90,15,1624,"8","74",0,0,0,0,"1065"
"649311",4.5,90,15,1647,"19","74",0,0,0,0,"2443"
"688117",4,90,15,1744,"14","74",0,0,0,0,"2016"
"695882",7.5,90,15,1765,"14","57",0,0,0,0,"2253"
"699781",5,90,10,1775,"23","74",0,0,0,0,"2399"
"754043",2.5,90,15,1910,"8","48",0,0,0,0,"2061"
"754045",3,90,15,1913,"13","61",0,0,0,0,"2022"
"773268",6.5,90,15,1960,"2","70",0,0,0,0,"1788"
"780921",6,90,10,1983,"11","74",0,0,0,0,"1323"
"800355",4,90,15,2033,"11","74",0,0,0,0,"256"
"808089",5.5,90,4,2054,"9","73",0,0,0,0,"2451"
"827452",4,90,14,2102,"8","41",0,0,0,0,"1758"
"839041",2.5,90,15,2131,"29","74",0,0,0,0,"2067"
"842834",4.5,90,15,2149,"4","74",0,0,0,0,"1254"
"854397",4,90,12,2175,"25","74",0,0,0,0,"1069"
"861979",3.5,90,15,2199,"24","61",0,0,0,0,"1901"
"873516",4,90,15,2222,"27","71",0,0,0,0,"1664"
"881272",2.5,90,11,2246,"7","48",0,0,0,0,"2407"
"892820",15.5,90,15,2272,"2","74",0,0,0,0,"2259"
"892821",2.5,90,15,2275,"27","71",0,0,0,0,"1666"
"896662",2.5,90,4,2284,"2","74",0,0,0,0,"456"
"919806",2.5,90,15,2344,"18","74",0,0,0,0,"2069"
"966165",3.5,90,15,2464,"19","74",0,0,0,0,"656"
"973947",4,90,15,2488,"29","74",0,0,0,0,"1260"
"985565",3,90,15,2519,"6","71",0,0,0,0,"1856"
"993266",4,90,12,2532,"17","74",0,0,0,0,"1990"
"1097580",2.5,90,15,2800,"11","74",0,0,0,0,"327"
"1105297",5,90,12,2825,"26","74",0,0,0,0,"1996"
"1132444",4,90,15,2895,"29","74",0,0,0,0,"2325"
"1140146",4,90,13,2916,"28","74",0,0,0,0,"2077"
"1170942",5,90,15,2992,"11","74",0,0,0,0,"1377"
"1186503",2.5,90,15,3039,"24","61",0,0,0,0,"2453"
"1194209",3.5,90,15,3051,"10","58",0,0,0,0,"260"
"1198081",5,90,15,3063,"16","74",0,0,0,0,"1264"
"1217420",11.5,90,15,3111,"11","74",0,0,0,0,"2263"
"1225185",12,90,15,3137,"9","74",0,0,0,0,"542"
"1252156",5.5,90,15,3208,"11","74",0,0,0,0,"1083"
"1279446",4,90,15,3278,"26","71",0,0,0,0,"1879"
"1310574",2.5,90,15,3353,"27","74",0,0,0,0,"2267"
"1325973",5.5,90,7,3397,"19","74",0,0,0,0,"2000"
"1364850",3,90,15,3497,"4","71",0,0,0,0,"1680"
"1376552",3.5,90,15,3520,"28","61",0,0,0,0,"2465"
"1384345",2.5,90,10,3541,"10","74",0,0,0,0,"1089"
