"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"22061",2,270,10,25,"74","2",0,0,0,0,"524"
"49079",2.5,270,15,98,"74","23",0,0,0,0,"2857"
"68529",2.5,270,15,144,"74","19",0,0,0,0,"743"
"130723",2.5,270,15,304,"74","12",0,0,0,0,"274"
"150233",4.5,270,15,356,"74","14",0,0,0,0,"746"
"169637",2,270,12,404,"71","3",0,0,0,0,"1934"
"181281",1.5,270,5,435,"74","12",0,0,0,0,"1043"
"250943",2.5,270,14,615,"74","36",0,0,0,0,"2720"
"254799",2,270,9,627,"74","12",0,0,0,0,"2278"
"281840",2.5,270,15,698,"74","10",0,0,0,0,"529"
"285731",4,270,15,706,"74","11",0,0,0,0,"279"
"308932",2.5,270,15,762,"74","29",0,0,0,0,"2349"
"332238",2.5,270,15,825,"71","13",0,0,0,0,"1937"
"343830",3,270,15,850,"62","33",0,0,0,0,"2226"
"390239",2.5,270,15,977,"58","28",0,0,0,0,"2106"
"436812",2,270,10,1097,"74","3",0,0,0,0,"447"
"448376",3.5,270,6,1128,"74","5",0,0,0,0,"759"
"452267",4,270,15,1133,"74","29",0,0,0,0,"1227"
"526131",2.5,270,15,1321,"74","19",0,0,0,0,"2818"
"545421",5.5,270,9,1370,"68","40",0,0,0,0,"2360"
"580285",2.5,270,15,1467,"62","11",0,0,0,0,"2307"
"595721",2.5,270,15,1509,"55","37",0,0,0,0,"2724"
"638235",2.5,270,15,1616,"71","38",0,0,0,0,"1947"
"638236",2.5,270,8,1617,"74","19",0,0,0,0,"2877"
"646033",4.5,270,15,1639,"62","30",0,0,0,0,"2228"
"700341",2.5,270,15,1771,"74","39",0,0,0,0,"532"
"704218",1.5,270,4,1785,"74","17",0,0,0,0,"284"
"742956",2.5,270,15,1880,"74","38",0,0,0,0,"2883"
"781766",2.5,270,15,1980,"74","38",0,0,0,0,"1468"
"789480",3,270,15,2008,"74","12",0,0,0,0,"764"
"801000",1.5,270,10,2030,"74","40",0,0,0,0,"286"
"801002",1.5,270,11,2034,"74","9",0,0,0,0,"2885"
"816475",2,270,8,2075,"57","3",0,0,0,0,"378"
"827918",2.5,270,15,2101,"62","37",0,0,0,0,"2326"
"827922",1.5,270,6,2107,"74","25",0,0,0,0,"1241"
"870648",2.5,270,15,2211,"74","12",0,0,0,0,"1470"
"878392",2.5,270,15,2231,"74","32",0,0,0,0,"2328"
"909450",1.5,270,10,2313,"74","18",0,0,0,0,"2421"
"928768",2.5,270,15,2366,"74","38",0,0,0,0,"1472"
"952071",2,270,7,2425,"74","19",0,0,0,0,"766"
"959788",2.5,270,15,2449,"74","29",0,0,0,0,"1474"
"1014123",2.5,270,15,2585,"74","30",0,0,0,0,"2734"
"1045100",2.5,270,15,2662,"74","16",0,0,0,0,"2426"
"1068324",2.5,270,15,2724,"74","38",0,0,0,0,"1253"
"1072210",1.5,270,11,2731,"74","36",0,0,0,0,"2336"
"1103244",1.5,270,4,2816,"74","37",0,0,0,0,"2661"
"1130524",2.5,270,15,2880,"71","39",0,0,0,0,"1963"
"1134396",3,270,15,2892,"74","37",0,0,0,0,"383"
"1200193",3,270,11,3067,"74","38",0,0,0,0,"2433"
"1204014",2.5,270,10,3072,"74","22",0,0,0,0,"1620"
"1227438",1.5,270,3,3134,"74","37",0,0,0,0,"309"
"1231360",2.5,270,15,3148,"74","30",0,0,0,0,"1481"
"1281520",3,270,15,3278,"71","38",0,0,0,0,"2846"
"1300759",2.5,270,15,3322,"74","35",0,0,0,0,"2740"
"1355134",2.5,270,15,3467,"74","10",0,0,0,0,"1263"
"1374476",3.5,270,15,3519,"74","13",0,0,0,0,"538"
"1382179",3,270,15,3537,"71","23",0,0,0,0,"1982"
"1455856",2.5,270,15,3728,"74","19",0,0,0,0,"390"
"1498287",2.5,270,13,3831,"74","38",0,0,0,0,"542"
"1533159",4.5,270,15,3920,"74","10",0,0,0,0,"1626"
"1533161",5,270,15,3925,"71","38",0,0,0,0,"2910"
"1564201",2.5,270,11,4005,"74","38",0,0,0,0,"316"
"1618601",2.5,270,15,4147,"74","30",0,0,0,0,"777"
"1641824",2.5,270,15,4207,"74","30",0,0,0,0,"829"
