"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1002526",270,2552,"74","38",2566,"1250",7
"1006418",90,2561,"37","74",2609,"287",24
"1006419",90,2566,"70","74",2569,"2425",1.5
"1006420",270,2567,"71","28",2587,"2190",10
"1014122",270,2583,"74","24",2611,"305",14
"1014123",270,2585,"74","30",2615,"2734",15
"1021834",90,2608,"56","71",2619,"1979",5.5
"1021835",90,2609,"38","73",2642,"1251",16.5
"1025611",270,2615,"74","61",2617,"2333",1
"1029517",270,2626,"71","7",2657,"1980",15.5
"1041239",270,2656,"21","8",2659,"2160",1.5
"1045100",270,2662,"74","16",2685,"2426",11.5
"1045101",90,2664,"61","74",2676,"2334",6
"1060582",90,2706,"16","37",2739,"2427",16.5
"1068323",90,2724,"36","74",2759,"768",17.5
"1068324",270,2724,"74","38",2737,"1253",6.5
"1080072",270,2753,"37","32",2754,"2428",0.5
"1087818",90,2774,"37","74",2806,"2660",16
"1087819",90,2778,"32","74",2809,"2429",15.5
"1099410",90,2800,"49","74",2837,"1476",18.5
"1099411",270,2800,"19","1",2803,"979",1.5
"1099412",270,2801,"65","26",2818,"2338",8.5
"1107120",90,2821,"28","29",2822,"1072",0.5
"1107121",90,2822,"7","28",2842,"1836",10
"1107122",90,2825,"26","74",2870,"2339",22.5
"1107123",270,2825,"29","11",2832,"1073",3.5
"111212",90,254,"37","74",286,"2716",16
"111213",90,257,"4","30",275,"2580",9
"1114929",270,2847,"28","13",2852,"1837",2.5
"1126676",90,2872,"11","48",2907,"2835",17.5
"1126678",90,2874,"68","71",2875,"1962",0.5
"1130524",270,2880,"71","39",2894,"1963",7
"1130525",270,2886,"74","28",2904,"2430",9
"1134396",270,2892,"74","37",2905,"383",6.5
"1134397",90,2895,"29","74",2949,"2735",27
"1134398",270,2895,"18","11",2896,"1047",0.5
"1142194",90,2916,"28","74",2964,"2431",24
"1142195",90,2919,"3","28",2948,"2587",14.5
"1149912",90,2932,"73","74",2933,"2737",0.5
"115070",90,260,"61","63",261,"2262",0.5
"1153803",270,2945,"48","30",2952,"2836",3.5
"1161600",270,2965,"74","26",2986,"1479",10.5
"1161601",90,2966,"5","12",2970,"892",2
"1173218",90,2992,"11","74",3041,"1619",24.5
"1173220",270,2999,"74","62",3001,"2340",1
"1177076",90,3003,"62","74",3027,"2341",12
"1177077",270,3009,"74","33",3029,"1255",10
"1188548",90,3039,"24","61",3072,"2888",16.5
"118991",90,278,"18","20",279,"1169",0.5
"1196339",90,3051,"10","58",3087,"306",18
"1200191",90,3063,"16","74",3134,"1480",35.5
"1200192",270,3066,"61","37",3071,"2889",2.5
"1200193",270,3067,"74","38",3078,"2433",5.5
"1204014",270,3072,"74","22",3090,"1620",9
"1204015",90,3075,"61","62",3076,"1094",0.5
"1207928",90,3080,"57","74",3101,"308",10.5
"1207929",90,3089,"37","74",3136,"2890",23.5
"1215692",270,3107,"74","19",3132,"2342",12.5
"1219559",90,3111,"11","74",3172,"2662",30.5
"1227438",270,3134,"74","37",3145,"309",5.5
"1227439",90,3137,"9","74",3211,"642",37
