"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18115",2.5,90,15,18,"38","74",0,0,0,0,"742"
"25917",4,90,15,36,"37","73",0,0,0,0,"1843"
"37463",7.5,90,11,65,"10","74",0,0,0,0,"2352"
"56886",6.5,90,11,112,"28","74",0,0,0,0,"2403"
"76336",3.5,90,9,162,"5","74",0,0,0,0,"2808"
"91854",4,90,14,207,"22","74",0,0,0,0,"273"
"95716",5.5,90,15,210,"19","62",0,0,0,0,"903"
"111212",3,90,15,254,"37","74",0,0,0,0,"2716"
"130722",4,90,5,304,"6","74",0,0,0,0,"2647"
"138558",5,90,15,325,"17","62",0,0,0,0,"2354"
"138560",4.5,90,15,329,"9","74",0,0,0,0,"1550"
"157980",9,90,6,372,"28","74",0,0,0,0,"1217"
"157981",9,90,15,373,"37","71",0,0,0,0,"1933"
"177383",4,90,11,423,"44","62",0,0,0,0,"2267"
"196685",3.5,90,15,470,"38","69",0,0,0,0,"2859"
"219988",3.5,90,3,532,"36","74",0,0,0,0,"2719"
"219989",3.5,90,15,535,"19","74",0,0,0,0,"2406"
"231549",5.5,90,15,567,"10","68",0,0,0,0,"526"
"239311",7.5,90,15,581,"2","74",0,0,0,0,"276"
"250942",2.5,90,15,615,"28","74",0,0,0,0,"1221"
"258661",3,90,13,631,"9","74",0,0,0,0,"2185"
"270284",3,90,15,662,"12","74",0,0,0,0,"2279"
"285732",3.5,90,13,709,"29","62",0,0,0,0,"617"
"293478",7,90,15,723,"16","74",0,0,0,0,"2864"
"297337",7.5,90,15,738,"39","74",0,0,0,0,"1607"
"305081",4,90,15,759,"37","59",0,0,0,0,"748"
"316694",4,90,4,782,"35","71",0,0,0,0,"1936"
"328325",4.5,90,15,819,"3","74",0,0,0,0,"1459"
"355454",3,90,13,883,"20","74",0,0,0,0,"2410"
"382428",3,90,15,951,"18","74",0,0,0,0,"1223"
"397936",4,90,15,998,"38","68",0,0,0,0,"751"
"409610",5.5,90,15,1024,"31","71",0,0,0,0,"2065"
"417391",3.5,90,15,1048,"10","74",0,0,0,0,"2412"
"436811",4,90,10,1096,"38","74",0,0,0,0,"2650"
"444533",3,90,15,1110,"20","74",0,0,0,0,"296"
"460059",2.5,90,12,1150,"32","74",0,0,0,0,"2817"
"467731",7,90,10,1172,"7","62",0,0,0,0,"626"
"475533",7,90,15,1190,"29","74",0,0,0,0,"1228"
"510676",2.5,90,15,1284,"22","74",0,0,0,0,"2876"
"518408",5.5,90,15,1302,"9","74",0,0,0,0,"485"
"522304",4.5,90,4,1310,"14","74",0,0,0,0,"2721"
"529967",3,90,15,1335,"6","68",0,0,0,0,"298"
"541540",3,90,9,1360,"6","74",0,0,0,0,"371"
"557072",2.5,90,15,1408,"30","62",0,0,0,0,"2306"
"576434",6,90,15,1455,"15","55",0,0,0,0,"2723"
"584112",6.5,90,13,1479,"11","74",0,0,0,0,"2308"
"603432",12,90,15,1526,"29","74",0,0,0,0,"1235"
"607315",5.5,90,6,1530,"37","74",0,0,0,0,"2725"
"622788",2.5,90,15,1574,"3","68",0,0,0,0,"2819"
"634387",3.5,90,13,1603,"38","68",0,0,0,0,"2727"
"642147",2.5,90,15,1621,"11","55",0,0,0,0,"2042"
"642149",3.5,90,15,1624,"8","74",0,0,0,0,"1237"
"649827",3.5,90,15,1647,"19","74",0,0,0,0,"2878"
"669216",3.5,90,12,1697,"37","74",0,0,0,0,"531"
"688712",2.5,90,15,1744,"14","74",0,0,0,0,"2361"
"696438",3,90,10,1765,"14","57",0,0,0,0,"2652"
"715891",4,90,11,1812,"34","74",0,0,0,0,"2880"
"742960",4,90,15,1889,"29","59",0,0,0,0,"2824"
"762335",3,90,15,1936,"38","74",0,0,0,0,"2884"
"770058",5,90,9,1957,"37","74",0,0,0,0,"763"
"773964",4.5,90,6,1960,"2","70",0,0,0,0,"2113"
"781767",5,90,15,1983,"11","74",0,0,0,0,"1557"
"781769",4,90,15,1986,"29","74",0,0,0,0,"2585"
"801001",5,90,13,2033,"11","74",0,0,0,0,"302"
