"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"37480",1,270,15,65,"37","9",0,0,0,0,"302"
"68446",1,270,6,144,"74","19",0,0,0,0,"637"
"169077",1,270,15,404,"71","3",0,0,0,0,"1635"
"192454",1,270,12,465,"74","11",0,0,0,0,"1318"
"250518",1,270,4,615,"74","14",0,0,0,0,"2310"
"331653",1,270,11,825,"71","13",0,0,0,0,"1637"
"447683",1,270,13,1128,"74","5",0,0,0,0,"649"
"466912",1,270,15,1173,"74","14",0,0,0,0,"2252"
"544473",1,270,15,1370,"68","14",0,0,0,0,"2015"
"571609",1,270,15,1441,"74","18",0,0,0,0,"415"
"675988",1,270,15,1717,"74","23",0,0,0,0,"2398"
"683707",1,270,4,1736,"62","18",0,0,0,0,"799"
"780496",1,270,15,1980,"74","4",0,0,0,0,"1253"
"792101",1,270,15,2013,"74","3",0,0,0,0,"2200"
"815425",1,270,10,2075,"57","3",0,0,0,0,"324"
"846486",1,270,6,2154,"74","11",0,0,0,0,"257"
"850387",1,270,15,2167,"73","24",0,0,0,0,"2452"
"1129408",1,270,15,2886,"74","28",0,0,0,0,"2076"
"1160425",1,270,15,2965,"74","16",0,0,0,0,"1263"
"1299782",1,270,9,3322,"74","9",0,0,0,0,"2330"
"1373267",1,270,15,3519,"74","13",0,0,0,0,"457"
"1381075",1,270,15,3537,"71","23",0,0,0,0,"1681"
"1439227",1,270,6,3686,"37","12",0,0,0,0,"1040"
"1497601",1,270,15,3830,"37","14",0,0,0,0,"1046"
"1532554",1,270,14,3920,"74","9",0,0,0,0,"1384"
"1583052",1,270,15,4053,"61","6",0,0,0,0,"1902"
