"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1001308",270,2552,"74","38",2562,"1076",5
"1001308",270,2552,"74","38",2563,"1076",5.5
"1005170",90,2561,"37","74",2610,"242",24.5
"1005171",90,2566,"70","74",2568,"2071",1
"1005172",270,2567,"71","19",2590,"1857",11.5
"1013004",270,2583,"74","10",2613,"259",15
"1013005",270,2585,"74","29",2615,"2324",15
"1020797",90,2609,"38","74",2639,"1077",15
"1024623",270,2615,"74","61",2617,"1991",1
"1028489",270,2626,"71","4",2655,"1679",14.5
"1036250",270,2640,"74","3",2670,"243",15
"1044026",270,2662,"74","16",2685,"2072",11.5
"1044027",90,2664,"61","74",2679,"1992",7.5
"1051813",90,2680,"8","31",2704,"1831",12
"1059584",90,2706,"16","37",2723,"2073",8.5
"1067300",270,2724,"74","30",2744,"1078",10
"1071166",270,2731,"74","36",2742,"1993",5.5
"1078967",90,2753,"36","65",2782,"1994",14.5
"1078968",270,2753,"37","32",2754,"2074",0.5
"1086714",90,2774,"37","74",2823,"2261",24.5
"1086715",90,2778,"32","74",2830,"2075",26
"1098331",90,2800,"11","74",2861,"327",30.5
"1098332",270,2800,"19","1",2803,"842",1.5
"1098333",270,2801,"65","26",2813,"1995",6
"1098334",270,2807,"74","7",2844,"657",18.5
"1102205",270,2816,"74","11",2848,"2262",16
"1106101",90,2821,"1","23",2853,"843",16
"1106102",90,2822,"7","28",2840,"1549",9
"1106103",90,2825,"26","74",2878,"1996",26.5
"1106104",270,2825,"29","11",2830,"923",2.5
"111121",90,254,"37","74",289,"2307",17.5
"111122",90,257,"4","30",289,"2195",16
"1113870",90,2847,"11","24",2866,"924",9.5
"1117777",90,2850,"13","29",2872,"1551",11
"1125479",90,2872,"10","18",2878,"900",3
"1125481",90,2874,"68","71",2875,"1662",0.5
"1129407",270,2880,"71","39",2894,"1663",7
"1129408",270,2886,"74","28",2906,"2076",10
"1133344",270,2892,"74","37",2904,"328",6
"1133345",90,2895,"29","74",2953,"2325",29
"1133346",270,2895,"18","11",2896,"901",0.5
"1141062",90,2916,"28","74",2982,"2077",33
"1141063",90,2919,"3","28",2943,"2201",12
"1145009",270,2922,"31","20",2924,"1859",1
"114899",90,260,"61","74",276,"1924",8
"1152647",270,2945,"48","30",2951,"2408",3
"1152648",270,2948,"28","11",2956,"2202",4
"1156544",270,2953,"74","5",2981,"2328",14
"1160425",270,2965,"74","16",2985,"1263",10
"1160426",90,2966,"5","12",2970,"760",2
"1164302",90,2973,"66","74",2984,"743",5.5
"1172103",90,2992,"11","74",3052,"1377",30
"1172105",90,2995,"11","28",3015,"762",10
"1175967",90,3003,"62","74",3016,"1998",6.5
"1175968",270,3009,"74","33",3031,"1080",11
"1187559",90,3039,"24","61",3066,"2453",13.5
"118770",90,278,"18","20",279,"1005",0.5
"1195325",90,3051,"10","58",3103,"260",26
"1199242",90,3063,"16","74",3165,"1264",51
"1199243",270,3063,"19","13",3064,"880",0.5
"1199244",270,3066,"61","37",3070,"2454",2
"1199245",270,3067,"74","2",3099,"2078",16
"1203111",270,3072,"74","11",3106,"1378",17
"1206970",90,3080,"57","74",3095,"262",7.5
"1206971",90,3089,"37","74",3135,"2455",23
"1214709",270,3107,"74","19",3128,"1999",10.5
"1218621",90,3111,"11","74",3182,"2263",35.5
"122626",270,281,"30","3",290,"2196",4.5
"1226390",270,3134,"74","9",3158,"263",12
"1226391",90,3137,"9","74",3184,"542",23.5
"1230207",270,3148,"74","4",3180,"1265",16
"1234073",270,3156,"74","11",3182,"1082",13
"1234074",270,3158,"16","6",3160,"829",1
"1245710",90,3180,"30","67",3212,"2409",16
"1245711",90,3184,"6","10",3186,"830",1
"1249543",90,3192,"73","74",3193,"2265",0.5
"1249544",270,3198,"74","27",3213,"2266",7.5
"1253411",90,3205,"65","71",3213,"2411",4
"1253412",90,3208,"11","74",3248,"1083",20
"1253413",270,3208,"74","67",3209,"2456",0.5
"1257284",90,3213,"67","74",3219,"2457",3
"1257286",90,3215,"69","74",3220,"2413",2.5
"1257287",270,3218,"74","32",3238,"2458",10
"1264914",90,3231,"26","28",3232,"1862",0.5
"1264915",90,3234,"5","74",3316,"2329",41
