"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18040",4,90,15,18,"38","74",0,0,0,0,"636"
"25858",5.5,90,12,36,"37","73",0,0,0,0,"1555"
"37479",5,90,11,65,"10","74",0,0,0,0,"2008"
"56882",3.5,90,15,112,"28","74",0,0,0,0,"2051"
"64620",5.5,90,15,137,"23","69",0,0,0,0,"2427"
"76138",5.5,90,15,162,"5","74",0,0,0,0,"2387"
"83950",6.5,90,15,184,"19","74",0,0,0,0,"638"
"91628",3.5,90,15,207,"22","74",0,0,0,0,"230"
"95500",5.5,90,15,210,"19","62",0,0,0,0,"770"
"111121",4.5,90,15,254,"37","74",0,0,0,0,"2307"
"130422",4,90,9,304,"6","74",0,0,0,0,"2249"
"138193",169,90,14,325,"17","62",0,0,0,0,"2010"
"138195",170.5,90,15,329,"9","74",0,0,0,0,"1317"
"157392",166,90,11,372,"28","74",0,0,0,0,"1049"
"157393",167,90,15,373,"37","71",0,0,0,0,"1634"
"165221",160,90,12,393,"28","74",0,0,0,0,"2251"
"165223",156,90,15,398,"14","74",0,0,0,0,"640"
"196330",135.5,90,13,470,"30","68",0,0,0,0,"2014"
"204068",113,90,6,499,"11","62",0,0,0,0,"1319"
"219439",110,90,11,532,"36","74",0,0,0,0,"2309"
"219440",104.5,90,15,535,"19","74",0,0,0,0,"2053"
"223356",101.5,90,15,543,"12","74",0,0,0,0,"1051"
"238872",80.5,90,15,581,"2","74",0,0,0,0,"232"
"258321",53,90,10,631,"9","74",0,0,0,0,"1852"
"269904",52.5,90,15,662,"12","74",0,0,0,0,"1940"
"285342",45.5,90,13,709,"29","62",0,0,0,0,"520"
"293058",38,90,15,723,"16","74",0,0,0,0,"2431"
"296880",34.5,90,7,733,"10","74",0,0,0,0,"452"
"296883",38,90,15,738,"39","74",0,0,0,0,"1367"
"327780",3.5,90,9,819,"3","74",0,0,0,0,"1244"
"347092",4,90,15,866,"3","62",0,0,0,0,"528"
"350939",4.5,90,15,879,"3","74",0,0,0,0,"2393"
"354801",5,90,15,883,"20","74",0,0,0,0,"2057"
"381965",4.5,90,15,951,"18","74",0,0,0,0,"1053"
"385854",5.5,90,15,968,"11","74",0,0,0,0,"250"
"397494",7.5,90,15,998,"38","68",0,0,0,0,"642"
"409003",4,90,3,1024,"6","74",0,0,0,0,"2199"
"409005",4.5,90,15,1027,"28","68",0,0,0,0,"1784"
"416745",3.5,90,15,1048,"10","74",0,0,0,0,"2059"
"455346",3.5,90,15,1147,"3","74",0,0,0,0,"383"
"474633",3.5,90,15,1190,"29","74",0,0,0,0,"1057"
"474635",7,90,15,1193,"13","74",0,0,0,0,"2441"
"474636",7.5,90,15,1196,"5","57",0,0,0,0,"650"
"490107",4,90,15,1237,"19","48",0,0,0,0,"1756"
"517304",3,90,12,1302,"9","74",0,0,0,0,"414"
"521165",5,90,9,1310,"14","74",0,0,0,0,"2311"
"521166",4.5,90,9,1316,"13","74",0,0,0,0,"1061"
"528919",4,90,15,1335,"6","68",0,0,0,0,"252"
"540617",4,90,15,1360,"6","74",0,0,0,0,"317"
"556094",4.5,90,10,1408,"30","62",0,0,0,0,"1966"
"575480",4.5,90,15,1455,"15","55",0,0,0,0,"2313"
"583193",4,90,13,1479,"11","74",0,0,0,0,"1968"
"602588",5,90,12,1526,"29","74",0,0,0,0,"1063"
"606505",3.5,90,15,1530,"37","74",0,0,0,0,"2315"
"621963",8,90,14,1574,"3","68",0,0,0,0,"2395"
"633468",6,90,15,1603,"38","68",0,0,0,0,"2317"
"641158",5,90,3,1621,"11","55",0,0,0,0,"1733"
"641159",6,90,10,1624,"8","74",0,0,0,0,"1065"
"648847",4,90,15,1647,"19","74",0,0,0,0,"2443"
"660409",3,90,9,1671,"30","62",0,0,0,0,"1895"
"687603",4.5,90,13,1744,"14","74",0,0,0,0,"2016"
"695268",6,90,15,1765,"14","57",0,0,0,0,"2253"
"699162",3.5,90,6,1775,"23","74",0,0,0,0,"2399"
"714597",6,90,15,1812,"34","74",0,0,0,0,"2445"
"753319",10.5,90,15,1910,"8","48",0,0,0,0,"2061"
"753321",8.5,90,15,1913,"13","61",0,0,0,0,"2022"
"761059",6.5,90,15,1936,"38","74",0,0,0,0,"2449"
"768803",5.5,90,4,1957,"37","74",0,0,0,0,"652"
"772684",4,90,15,1960,"2","70",0,0,0,0,"1788"
"780497",4,90,15,1983,"11","74",0,0,0,0,"1323"
"799841",3.5,90,15,2033,"11","74",0,0,0,0,"256"
"807610",3.5,90,13,2054,"9","73",0,0,0,0,"2451"
"838792",4,90,15,2131,"29","74",0,0,0,0,"2067"
"842625",8.5,90,15,2149,"4","74",0,0,0,0,"1254"
"854248",5.5,90,15,2175,"25","74",0,0,0,0,"1069"
"861935",4.5,90,12,2199,"24","61",0,0,0,0,"1901"
"873552",3,90,12,2222,"27","71",0,0,0,0,"1664"
"881293",3.5,90,3,2246,"7","48",0,0,0,0,"2407"
"893021",3,90,12,2272,"2","74",0,0,0,0,"2259"
"893022",4.5,90,15,2275,"27","71",0,0,0,0,"1666"
"896893",4,90,15,2284,"2","74",0,0,0,0,"456"
"900729",5,90,15,2293,"35","74",0,0,0,0,"1071"
"920077",4,90,15,2344,"18","74",0,0,0,0,"2069"
"939484",4,90,15,2391,"38","74",0,0,0,0,"1258"
"966611",4.5,90,15,2464,"19","74",0,0,0,0,"656"
"974328",4,90,12,2488,"29","74",0,0,0,0,"1260"
"985855",4.5,90,11,2511,"36","74",0,0,0,0,"2321"
"985856",5,90,15,2519,"6","71",0,0,0,0,"1856"
"993532",8,90,15,2532,"17","74",0,0,0,0,"1990"
"1005170",9,90,15,2561,"37","74",0,0,0,0,"242"
"1020797",3.5,90,12,2609,"38","74",0,0,0,0,"1077"
"1078967",4.5,90,15,2753,"36","65",0,0,0,0,"1994"
"1086714",5.5,90,15,2774,"37","74",0,0,0,0,"2261"
"1086715",4,90,15,2778,"32","74",0,0,0,0,"2075"
"1098331",5,90,15,2800,"11","74",0,0,0,0,"327"
"1106103",4.5,90,15,2825,"26","74",0,0,0,0,"1996"
"1133345",4.5,90,11,2895,"29","74",0,0,0,0,"2325"
"1141062",6,90,7,2916,"28","74",0,0,0,0,"2077"
"1172103",4.5,90,15,2992,"11","74",0,0,0,0,"1377"
"1187559",4,90,15,3039,"24","61",0,0,0,0,"2453"
"1195325",6.5,90,15,3051,"10","58",0,0,0,0,"260"
"1199242",7,90,15,3063,"16","74",0,0,0,0,"1264"
"1206971",6,90,15,3089,"37","74",0,0,0,0,"2455"
"1218621",5,90,15,3111,"11","74",0,0,0,0,"2263"
"1226391",3,90,11,3137,"9","74",0,0,0,0,"542"
"1245710",4,90,15,3180,"30","67",0,0,0,0,"2409"
"1253412",3,90,6,3208,"11","74",0,0,0,0,"1083"
"1264915",5.5,90,15,3234,"5","74",0,0,0,0,"2329"
"1272631",4.5,90,10,3255,"32","69",0,0,0,0,"2459"
"1280412",6.5,90,15,3278,"26","71",0,0,0,0,"1879"
"1311385",3.5,90,15,3353,"27","74",0,0,0,0,"2267"
"1326809",4,90,15,3397,"19","74",0,0,0,0,"2000"
"1365461",8,90,12,3497,"4","71",0,0,0,0,"1680"
