"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"45078",3,270,15,88,"73","39",0,0,0,0,"1844"
"134001",3,270,15,315,"74","40",0,0,0,0,"2717"
"331654",4.5,270,15,825,"71","13",0,0,0,0,"1937"
"339314",3,270,15,848,"74","20",0,0,0,0,"2409"
"381860",3,270,15,951,"74","38",0,0,0,0,"750"
"486143",2,270,10,1224,"74","19",0,0,0,0,"297"
"563690",2.5,270,11,1424,"74","15",0,0,0,0,"2722"
"703084",3,270,15,1785,"74","17",0,0,0,0,"284"
"741802",3,270,15,1880,"74","38",0,0,0,0,"2883"
"761190",2,270,12,1935,"74","18",0,0,0,0,"452"
"780602",2.5,270,15,1980,"74","38",0,0,0,0,"1468"
"877348",3,270,15,2231,"74","32",0,0,0,0,"2328"
"881252",3,270,15,2249,"71","27",0,0,0,0,"1965"
"927674",2.5,270,15,2366,"74","38",0,0,0,0,"1472"
"958484",3,270,15,2449,"74","29",0,0,0,0,"1474"
"1070636",2,270,9,2731,"74","36",0,0,0,0,"2336"
"1229311",3,270,15,3148,"74","30",0,0,0,0,"1481"
"1454216",2,270,11,3721,"74","29",0,0,0,0,"823"
"1454217",2.5,270,15,3728,"74","19",0,0,0,0,"390"
"1473622",3,270,14,3777,"74","40",0,0,0,0,"2906"
"1562937",2.5,270,15,4005,"74","38",0,0,0,0,"316"
