"","X1","X2"
"1",15,15
"2",15,11
"3",38,22.5
"4",1.5,13
"5",32,25
"6",1,2
"7",55,28
"8",19,30.5
"9",8.5,12
"10",0.5,1.5
"11",1,1.5
"12",0.5,13
"13",26,19.5
"14",184,36
"15",191,29.5
"16",183.5,17
"17",9.5,9.5
"18",7,20.5
"19",135.5,13
"20",5,2
"21",9.5,13
"22",115,22.5
"23",6.5,5.5
"24",107,37.5
"25",92.5,24.5
"26",0.5,0.5
"27",4.5,2
"28",7.5,6
"29",95,32
"30",4,5
"31",1.5,1
"32",72,32.5
"33",49,13.5
"34",66.5,36
"35",55,18
"36",11,4.5
"37",11,17
"38",0.5,2
"39",30,27
"40",1,0.5
"41",4,3
"42",1.5,1
"43",5.5,2
"44",9,26
"45",1,2
"46",7,29.5
"47",14.5,8
"48",11.5,7.5
"49",1,0.5
"50",12.5,12
"51",9.5,8
"52",32.5,21
"53",1.5,4
"54",9.5,10.5
"55",0.5,0.5
"56",5,14
"57",14,17
"58",26,28.5
"59",0.5,0.5
"60",16.5,27.5
"61",6,18.5
"62",28.5,18
"63",16,16
"64",0.5,0.5
"65",14,13
"66",25,21.5
"67",14,6
"68",32.5,35.5
"69",26.5,34.5
"70",42.5,36
"71",0.5,0.5
"72",4,2
"73",9,21
"74",7.5,5
"75",1,36.5
"76",22.5,27
"77",4.5,31
"78",4,10.5
"79",16,13.5
"80",0.5,23
"81",20.5,19
"82",41,30.5
"83",26.5,18.5
"84",26,11.5
"85",3,3
"86",3,3
"87",29.5,25.5
"88",5,2.5
"89",19.5,37
"90",11.5,13
"91",29.5,18
"92",5.5,6.5
"93",7,10.5
"94",8.5,6.5
"95",23,16
"96",7,11
"97",12,4.5
"98",7.5,11
"99",25,13
"100",0.5,0.5
"101",17,12
"102",21.5,13
"103",22,32
"104",30.5,12
"105",25,29.5
"106",32,33.5
"107",22,13
"108",1.5,1.5
"109",41.5,33.5
"110",0.5,1
"111",1.5,1.5
"112",2,9
"113",10.5,12.5
"114",11.5,11.5
"115",5.5,2
"116",24.5,20.5
"117",47.5,31
"118",24.5,18
"119",29,12
"120",7.5,6.5
"121",19.5,5
"122",36.5,29.5
"123",15,37.5
"124",14.5,28
"125",13.5,16
"126",22,17
"127",34.5,20
"128",21.5,14
"129",1,1
"130",5.5,8
"131",16.5,11.5
"132",5.5,2.5
"133",10,23.5
"134",22,18
"135",37,24
"136",34,8.5
"137",35,16.5
"138",28.5,9.5
"139",8.5,12.5
"140",15,36.5
"141",0.5,1
"142",20.5,18
"143",29.5,27.5
"144",7.5,13
"145",1.5,13
"146",3.5,1.5
"147",24.5,22.5
"148",5,1.5
"149",17,13.5
"150",17.5,13.5
"151",28.5,18
"152",0.5,0.5
"153",8.5,7
"154",18,18
"155",0.5,0.5
"156",28,18.5
"157",29.5,24.5
"158",39,11
"159",1.5,0.5
"160",1.5,3.5
"161",3,2.5
"162",1.5,24
"163",0.5,11
"164",27.5,20.5
"165",17.5,13.5
"166",1,1
"167",4.5,4
"168",1,1
"169",2.5,1.5
"170",2.5,2
"171",3,11
"172",13.5,18.5
"173",24.5,20
"174",9,5.5
"175",27.5,10
"176",28,24
"177",0.5,0.5
"178",3.5,13
"179",16,12
"180",0.5,0.5
"181",76,19
"182",12,16
"183",3.5,2
"184",41.5,11
"185",42,31.5
"186",33,26.5
"187",22,24.5
"188",18,19.5
"189",8,23
"190",6,1.5
"191",27.5,27.5
"192",19.5,26
"193",19.5,28
"194",33,23
"195",21,16.5
"196",0.5,0.5
"197",31,26.5
"198",10,11
"199",1,0.5
"200",0.5,0.5
"201",0.5,1
"202",1,10
"203",13,7
"204",19,21.5
"205",2,2
"206",2.5,2.5
"207",9,3.5
"208",1,2
"209",8.5,7.5
"210",28,24
"211",13.5,18.5
"212",13,6
"213",12,11
"214",5,5.5
"215",6,23.5
"216",0.5,0.5
"217",3,1.5
"218",0.5,0.5
"219",10,11
"220",15,6.5
"221",24.5,28
"222",9.5,11
"223",1,11.5
"224",3,12
"225",14.5,20
"226",5,10.5
"227",5.5,8
"228",7.5,18
"229",7.5,12
"230",11,19.5
"231",5,12
"232",1.5,36
"233",11,20
"234",8.5,37.5
"235",7.5,20.5
"236",7.5,18
"237",173.5,23.5
"238",1.5,12
"239",166.5,10.5
"240",159.5,9.5
"241",6.5,8.5
"242",153,28
"243",3.5,1.5
"244",147,19
"245",138,17
"246",5,11.5
"247",0.5,9
"248",7,13
"249",50.5,17.5
"250",52,16
"251",5.5,6.5
"252",6,6.5
"253",1,12
"254",8,6
"255",31.5,11.5
"256",1,30.5
"257",15.5,15
"258",5,10.5
"259",4,30
"260",16.5,16
"261",7.5,18.5
"262",14.5,17.5
"263",5,6.5
"264",0.5,4.5
"265",1,8
"266",0.5,1
"267",4.5,10.5
"268",11,30.5
"269",4,13
"270",4,16.5
"271",5.5,4.5
"272",10.5,26.5
"273",12,25
"274",14.5,34
"275",10.5,28.5
"276",5.5,21.5
"277",3.5,8
"278",1,4
"279",6,13.5
"280",9,21
"281",4,10.5
