"who","heading","birthday","origin","destination","deathday","id","systemtime"
"1001012",270,2552,"74","38",2565,"1250",6.5
"1004889",90,2561,"37","74",2604,"287",21.5
"1004890",90,2566,"70","74",2568,"2425",1
"1004891",270,2567,"71","28",2586,"2190",9.5
"1012553",270,2583,"74","24",2600,"305",8.5
"1012554",270,2585,"74","30",2604,"2734",9.5
"1020350",90,2608,"56","71",2619,"1979",5.5
"1020351",90,2609,"38","73",2642,"1251",16.5
"1024227",270,2615,"74","61",2617,"2333",1
"1028118",270,2626,"71","7",2654,"1980",14
"1039740",270,2656,"21","8",2659,"2160",1.5
"1043636",270,2662,"74","16",2686,"2426",12
"1043637",90,2664,"61","74",2675,"2334",5.5
"1059038",90,2706,"16","37",2726,"2427",10
"1066769",90,2724,"36","74",2768,"768",22
"1066770",270,2724,"74","38",2737,"1253",6.5
"1078512",90,2753,"36","65",2827,"2337",37
"1078513",270,2753,"37","32",2754,"2428",0.5
"1086314",90,2774,"37","74",2842,"2660",34
"1086315",90,2778,"32","74",2848,"2429",35
"1097931",90,2800,"49","74",2857,"1476",28.5
"1097932",270,2800,"19","1",2803,"979",1.5
"1097933",270,2801,"65","26",2814,"2338",6.5
"1101780",270,2816,"74","37",2841,"2661",12.5
"1105647",90,2822,"7","28",2839,"1836",8.5
"1105648",90,2825,"26","74",2896,"2339",35.5
"1105649",270,2825,"29","11",2833,"1073",4
"110722",90,254,"37","74",292,"2716",19
"110723",90,257,"4","30",274,"2580",8.5
"1124997",90,2872,"11","48",2902,"2835",15
"1124999",90,2874,"68","71",2875,"1962",0.5
"1128880",270,2880,"71","39",2892,"1963",6
"1128881",270,2886,"74","28",2906,"2430",10
"1132732",270,2892,"74","37",2904,"383",6
"1132733",90,2895,"29","74",2936,"2735",20.5
"1132734",270,2895,"18","11",2896,"1047",0.5
"1140500",90,2916,"28","74",2975,"2431",29.5
"1140501",90,2919,"3","28",2934,"2587",7.5
"114610",90,260,"61","63",261,"2262",0.5
"114610",90,260,"61","63",262,"2262",1
"1152059",270,2945,"48","30",2950,"2836",2.5
"1155940",270,2953,"74","57",2960,"2738",3.5
"1159826",270,2965,"74","26",2988,"1479",11.5
"1159827",90,2966,"5","12",2969,"892",1.5
"1163673",90,2973,"66","72",2980,"865",3.5
"1171364",90,2992,"11","74",3041,"1619",24.5
"1171366",270,2999,"74","62",3001,"2340",1
"1175177",90,3003,"62","74",3013,"2341",5
"1175178",270,3009,"74","33",3029,"1255",10
"118556",90,278,"18","20",279,"1169",0.5
"1186869",90,3039,"24","61",3073,"2888",17
"1194535",90,3051,"10","58",3086,"306",17.5
"1198372",90,3063,"16","74",3120,"1480",28.5
