"name","ttime","heading","connected.barges","birthday","origin","destination","link1tt","link2tt","link3tt","link4tt","id"
"18040",5.5,90,15,18,"38","74",0,0,0,0,"742"
"25742",3.5,90,7,36,"37","73",0,0,0,0,"1843"
"37333",6,90,15,65,"10","74",0,0,0,0,"2352"
"56696",7.5,90,15,112,"28","74",0,0,0,0,"2403"
"75921",8.5,90,15,162,"5","74",0,0,0,0,"2808"
"91434",9.5,90,15,207,"22","74",0,0,0,0,"273"
"110722",5.5,90,15,254,"37","74",0,0,0,0,"2716"
"130172",4,90,10,304,"6","74",0,0,0,0,"2647"
"137870",5,90,15,329,"9","74",0,0,0,0,"1550"
"157261",7,90,8,372,"28","74",0,0,0,0,"1217"
"157262",7,90,5,373,"37","71",0,0,0,0,"1933"
"195886",4,90,13,470,"38","69",0,0,0,0,"2859"
"219154",4.5,90,15,532,"36","74",0,0,0,0,"2719"
"219155",7.5,90,15,535,"19","74",0,0,0,0,"2406"
"230830",6.5,90,15,567,"10","68",0,0,0,0,"526"
"238607",8.5,90,15,581,"2","74",0,0,0,0,"276"
"250238",8,90,15,615,"28","74",0,0,0,0,"1221"
"258042",7.5,90,15,631,"9","74",0,0,0,0,"2185"
"269645",4.5,90,15,662,"12","74",0,0,0,0,"2279"
"292879",9.5,90,15,723,"16","74",0,0,0,0,"2864"
"296753",7,90,15,738,"39","74",0,0,0,0,"1607"
"316185",6.5,90,10,782,"35","71",0,0,0,0,"1936"
"327786",5,90,15,819,"3","74",0,0,0,0,"1459"
"350847",4.5,90,15,878,"55","74",0,0,0,0,"1555"
"354745",5,90,15,883,"20","74",0,0,0,0,"2410"
"381859",3.5,90,10,951,"18","74",0,0,0,0,"1223"
"397392",4.5,90,15,998,"38","68",0,0,0,0,"751"
"408991",8.5,90,15,1024,"31","71",0,0,0,0,"2065"
"416721",4.5,90,12,1045,"49","74",0,0,0,0,"2291"
"416722",4,90,3,1048,"10","74",0,0,0,0,"2412"
"436111",3.5,90,8,1095,"56","71",0,0,0,0,"1942"
"436112",4.5,90,15,1096,"38","74",0,0,0,0,"2650"
"443819",7,90,15,1110,"20","74",0,0,0,0,"296"
"459205",4,90,15,1150,"32","74",0,0,0,0,"2817"
"474574",4,90,12,1190,"29","74",0,0,0,0,"1228"
"509392",5,90,13,1284,"22","74",0,0,0,0,"2876"
"509393",11,90,13,1285,"56","68",0,0,0,0,"2359"
"517189",4.5,90,11,1302,"9","74",0,0,0,0,"485"
"521065",5.5,90,15,1310,"14","74",0,0,0,0,"2721"
"528743",5,90,15,1335,"6","68",0,0,0,0,"298"
"540416",7.5,90,15,1360,"6","74",0,0,0,0,"371"
"583063",4,90,15,1479,"11","74",0,0,0,0,"2308"
"602348",4,90,15,1526,"29","74",0,0,0,0,"1235"
"606231",5,90,12,1530,"37","74",0,0,0,0,"2725"
"621644",9.5,90,15,1574,"3","68",0,0,0,0,"2819"
"633188",9.5,90,15,1603,"38","68",0,0,0,0,"2727"
"641005",6,90,15,1624,"8","74",0,0,0,0,"1237"
"648753",4.5,90,15,1647,"19","74",0,0,0,0,"2878"
"668187",5.5,90,15,1697,"37","74",0,0,0,0,"531"
"687543",9.5,90,15,1744,"14","74",0,0,0,0,"2361"
"714746",4.5,90,15,1810,"55","74",0,0,0,0,"2654"
"714747",8,90,11,1812,"34","74",0,0,0,0,"2880"
"761191",6.5,90,15,1936,"38","74",0,0,0,0,"2884"
"769039",8.5,90,15,1957,"37","74",0,0,0,0,"763"
"772880",4.5,90,11,1960,"2","70",0,0,0,0,"2113"
"780603",6,90,14,1983,"11","74",0,0,0,0,"1557"
"780605",4.5,90,5,1986,"29","74",0,0,0,0,"2585"
"800022",7.5,90,15,2033,"11","74",0,0,0,0,"302"
"807791",6.5,90,15,2054,"9","73",0,0,0,0,"2886"
"838862",5,90,11,2131,"29","74",0,0,0,0,"2420"
"842660",7.5,90,15,2149,"4","74",0,0,0,0,"1469"
"854197",5,90,15,2175,"25","74",0,0,0,0,"1242"
"873495",7,90,15,2222,"27","71",0,0,0,0,"1964"
"881251",7,90,15,2246,"32","73",0,0,0,0,"2329"
"892849",6,90,15,2272,"2","74",0,0,0,0,"2658"
"900570",4,90,10,2293,"35","74",0,0,0,0,"1244"
"939239",4,90,15,2391,"38","74",0,0,0,0,"1473"
"966246",4,90,11,2467,"38","74",0,0,0,0,"2423"
"985608",6,90,15,2511,"36","74",0,0,0,0,"2731"
"985610",4.5,90,15,2519,"6","71",0,0,0,0,"2189"
"993391",6.5,90,15,2532,"17","74",0,0,0,0,"2332"
"1004889",6,90,10,2561,"37","74",0,0,0,0,"287"
"1020350",4,90,15,2608,"56","71",0,0,0,0,"1979"
"1020351",5,90,15,2609,"38","73",0,0,0,0,"1251"
"1066769",6,90,15,2724,"36","74",0,0,0,0,"768"
"1078512",14,90,15,2753,"36","65",0,0,0,0,"2337"
"1086314",14.5,90,3,2774,"37","74",0,0,0,0,"2660"
"1086315",14,90,15,2778,"32","74",0,0,0,0,"2429"
"1097931",13.5,90,15,2800,"49","74",0,0,0,0,"1476"
"1105648",9,90,15,2825,"26","74",0,0,0,0,"2339"
"1132733",4.5,90,15,2895,"29","74",0,0,0,0,"2735"
"1140500",7,90,15,2916,"28","74",0,0,0,0,"2431"
"1171364",4.5,90,13,2992,"11","74",0,0,0,0,"1619"
"1198372",5,90,15,3063,"16","74",0,0,0,0,"1480"
"1206115",5.5,90,15,3089,"37","74",0,0,0,0,"2890"
"1217700",4.5,90,15,3111,"11","74",0,0,0,0,"2662"
"1225510",4.5,90,13,3137,"9","74",0,0,0,0,"642"
"1244894",10,90,11,3180,"30","67",0,0,0,0,"2837"
"1252620",3.5,90,11,3208,"11","74",0,0,0,0,"1258"
"1264333",4.5,90,15,3234,"5","74",0,0,0,0,"2739"
"1271964",5.5,90,15,3255,"32","69",0,0,0,0,"2895"
"1279730",4.5,90,11,3278,"26","71",0,0,0,0,"2212"
"1306842",4,90,15,3349,"38","74",0,0,0,0,"385"
"1310749",5.5,90,15,3353,"27","74",0,0,0,0,"2666"
"1326317",5.5,90,15,3397,"19","74",0,0,0,0,"2343"
"1337936",5.5,90,9,3423,"18","74",0,0,0,0,"537"
"1365056",12,90,12,3497,"4","71",0,0,0,0,"1981"
"1384426",11.5,90,15,3541,"10","74",0,0,0,0,"1264"
"1411668",7,90,15,3617,"7","71",0,0,0,0,"511"
"1419449",6.5,90,15,3639,"10","74",0,0,0,0,"2904"
"1431081",5.5,90,15,3665,"3","68",0,0,0,0,"289"
"1438795",4.5,90,15,3686,"29","74",0,0,0,0,"540"
"1438797",5,90,15,3689,"37","74",0,0,0,0,"1268"
"1465880",5.5,90,14,3759,"17","74",0,0,0,0,"2438"
"1485325",5,90,15,3809,"40","74",0,0,0,0,"2907"
"1497071",5.5,90,15,3830,"11","74",0,0,0,0,"1621"
"1497074",6.5,90,15,3834,"38","74",0,0,0,0,"1274"
"1524165",5,90,15,3901,"9","74",0,0,0,0,"2741"
"1531956",9.5,90,12,3925,"11","74",0,0,0,0,"315"
"1543654",5,90,15,3951,"38","66",0,0,0,0,"2441"
"1543656",5.5,90,9,3954,"38","74",0,0,0,0,"2911"
"1570705",3.5,90,12,4022,"48","74",0,0,0,0,"394"
"1578539",5,90,13,4048,"7","74",0,0,0,0,"770"
"1582375",5,90,15,4051,"37","71",0,0,0,0,"1967"
"1605606",4,90,11,4113,"56","69",0,0,0,0,"2449"
"1605608",5.5,90,15,4116,"9","74",0,0,0,0,"1561"
"1605610",7,90,9,4119,"29","74",0,0,0,0,"828"
"1644407",4,90,15,4214,"9","74",0,0,0,0,"1627"
